,id,year,contracting_authority_official_name,contracting_authority_country,contracting_authority_nut,contracting_authority_main_activity,object_title,object_type,object_description,object_total_value,cpv,award_criteria,procedure_type,url,object_total_value_clean,tenders,group_economic_operator,subcontracting,contractors,contractors_countries,contractors_total_value,group_economic_operator_boolean,subcontracting_boolean
10,596080-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596080-2019:TEXT:EN:HTML&src=0,76060316.0,4,no,,[' Vector Synergy Spolka z Ograniczona Odpowiedzianoscia'],[' Portugal'],5 465 500.00 EUR,1,False
11,596077-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596077-2019:TEXT:EN:HTML&src=0,76060316.0,3,yes,,"[' Unisys Belgium SA', ' PwC EU Services EESV', ' UniSystems Information Technology Systems Commercial SMSA']","[' Belgium', ' Belgium', ' Greece']",44 960 400.00 EUR,3,False
12,596077-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596077-2019:TEXT:EN:HTML&src=0,76060316.0,3,no,,[' CGITI Portugal SA'],[' Portugal'],44 960 400.00 EUR,1,False
13,596077-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596077-2019:TEXT:EN:HTML&src=0,76060316.0,3,no,,[' Engineering Ingegneria Informatica S.p.A.'],[' Italy'],44 960 400.00 EUR,1,False
14,596076-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596076-2019:TEXT:EN:HTML&src=0,76060316.0,3,no,,[' Infeurope SA'],[' Luxembourg'],13 632 816.00 EUR,1,False
15,596076-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596076-2019:TEXT:EN:HTML&src=0,76060316.0,3,yes,,"[' Civitta Eesti AS', ' Advokaadiburoo Sorainen AS']","[' Estonia', ' Estonia']",13 632 816.00 EUR,2,False
16,596076-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of External Assistance (EXTRA),Services,,76 060 316.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Quality of tenderer’s proposal (including due diligence and phase-in plan) / Weighting: 15,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:596076-2019:TEXT:EN:HTML&src=0,76060316.0,3,no,,[' Vector Synergy Spolka z Ograniczona Odpowiedzianoscia'],[' Poland'],13 632 816.00 EUR,1,False
17,593676-2019,2019,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Provision of Training, Conferences, Seminars, Coaching, e-learning, Learning and Organisational Development Services",Services,,2 500 000.00 EUR,80000000 Education and training services,Quality criterion - Name: Quality (as per Tender Specifications section 3.4.1) / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:593676-2019:TEXT:EN:HTML&src=0,2500000.0,3,yes,The contract is likely to be subcontracted,"[' INFEUROPE S.A.', ' imc information multimedia communication AG']","[' Luxembourg', ' Germany']",2 500 000.00 EUR,2,True
18,526594-2019,2019,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Framework Contract for Maintenance Services and Works for Update and Improve the eu-LISA Back-up Site in Sankt Johann im Pongau, Austria",Services,,2 500 000.00 EUR,50710000 Repair and maintenance services of electrical and mechanical building installations,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:526594-2019:TEXT:EN:HTML&src=0,2500000.0,1,no,,[' ELIN GmbH'],[' Austria'],2 500 000.00 EUR,1,False
19,439743-2019,2019,"European Union Agency for the Operational Management of Large-scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of Medical Services,Services,,600 000.00 EUR,85100000 Health services,Quality criterion - Name: Medical approach and overall management of the process: quality of proposal / Weighting: 20,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:439743-2019:TEXT:EN:HTML&src=0,600000.0,1,no,,[' Qvalitas Arstikeskus AS'],[' Estonia'],200 000.00 EUR,1,False
20,414490-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of Security Services and Equipment,Services,,3 500 000.00 EUR,79710000 Security services,Quality criterion - Name: Technical evaluation criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:414490-2019:TEXT:EN:HTML&src=0,3500000.0,1,no,,[' SPIE Facilities'],[' France'],3 500 000.00 EUR,1,False
21,375801-2019,2019,"European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Electricity Services for eu-LISA Operational Site in Strasbourg, France",Services,,350 000.00 EUR,65300000 Electricity distribution and related services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:375801-2019:TEXT:EN:HTML&src=0,350000.0,1,no,,[' ES Energies Strasbourg'],[' France'],350 000.00 EUR,1,False
22,373924-2019,2019,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of Security Guarding and Reception Services at eu-LISA Strasbourg Premises,Services,,4 000 000.00 EUR,79710000 Security services,Quality criterion - Name: Technical evaluation criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:373924-2019:TEXT:EN:HTML&src=0,4000000.0,1,no,,[' Securitas France Sarl'],[' France'],4 000 000.00 EUR,1,False
23,373923-2019,2019,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of Security Services and Equipment,Services,,2 000 000.00 EUR,79710000 Security services,Quality criterion - Name: Technical Evalaution criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:373923-2019:TEXT:EN:HTML&src=0,2000000.0,1,no,,[' AS G4S EESTI'],[' Estonia'],2 000 000.00 EUR,1,False
24,297628-2019,2019,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Integrated Maintenance Services of eu-LISA’s Building and Technical Infrastructure in its Operational Site in Strasbourg, FRANCE",Services,,500 000.00 EUR,50700000 Repair and maintenance services of building installations,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:297628-2019:TEXT:EN:HTML&src=0,500000.0,1,no,The contract is likely to be subcontracted,[' Axima Concept S.A.'],[' France'],500 000.00 EUR,1,True
25,243528-2019,2019,"European Agency for the Operational Management of Large-scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,EES,Services,,142 051 690.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Technical offer / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:243528-2019:TEXT:EN:HTML&src=0,142051690.0,4,yes,The contract is likely to be subcontracted,"[' Consortium IBM Belgium BVBA, Atos Belgium NV and Leonardo S.p.a, represented by the Group Leader IBM Belgium BVBA', ' Atos Belgium NV', ' Leonardo S.p.a']","[' Belgium', ' Belgium', ' Italy']",142 051 690.00 EUR,3,True
26,538648-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Framework Supply Contract for the Supply of Furniture for the New Building in eu-LISA’s Operational site in Strasbourg,Supplies,,2 500 000.00 EUR,"39000000 Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products",Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:538648-2018:TEXT:EN:HTML&src=0,2500000.0,3,no,,[' Majencia S.A.'],[' France'],2 500 000.00 EUR,1,False
27,463855-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Provision of Security Services and Equipment,Services,,11 000 000.00 EUR,79710000 Security services,Quality criterion - Name: Technical Evaluation criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:463855-2018:TEXT:EN:HTML&src=0,11000000.0,1,no,,[' AS G4S Eesti'],[' Estonia'],1 500 000.00 EUR,1,False
28,371708-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Integrated Communication Services, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: All criteria are stated in the procurement documents (tender specifications) / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:371708-2018:TEXT:EN:HTML&src=0,17900000.0,1,no,The contract is likely to be subcontracted,[' Pomilio Blumm Srl'],[' Italy'],900 000.00 EUR,1,True
29,371708-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Integrated Communication Services, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: All criteria are stated in the procurement documents (tender specifications) / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:371708-2018:TEXT:EN:HTML&src=0,17900000.0,5,yes,,"[' Adria Congrex Srl', ' Baltic Tours Ltd']","[' Italy', ' Estonia']",14 500 000.00 EUR,2,False
30,371708-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Integrated Communication Services, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: All criteria are stated in the procurement documents (tender specifications) / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:371708-2018:TEXT:EN:HTML&src=0,17900000.0,5,yes,The contract is likely to be subcontracted,"[' ProPager SARL (Leader)', ' North East West South (NEWS) Travel SA']","[' France', ' France']",14 500 000.00 EUR,2,True
31,371708-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Integrated Communication Services, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: All criteria are stated in the procurement documents (tender specifications) / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:371708-2018:TEXT:EN:HTML&src=0,17900000.0,5,no,The contract is likely to be subcontracted,[' Pomilio Blumm Srl'],[' Italy'],14 500 000.00 EUR,1,True
32,371708-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Integrated Communication Services, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: All criteria are stated in the procurement documents (tender specifications) / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:371708-2018:TEXT:EN:HTML&src=0,17900000.0,7,yes,,"[' T and T Executive SA', ' Company for trade and services Congress Service Center Vesna and dr. Ltd Skopje (Congress Service Center)', ' Business, trade and services company Congress Travel Service DOO Skopje (Congress Travel Service DOO Skopje)']","[' Greece', ' North Macedonia', ' North Macedonia']",2 500 000.00 EUR,3,False
33,252094-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,SIS II MWO,Services,,80 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: All criteria are stated only in the procurement documents (See internet address provided in Section I.1) / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:252094-2018:TEXT:EN:HTML&src=0,80000000.0,3,no,The contract is likely to be subcontracted,[' Sopra Steria Benelux SA/NV'],[' Belgium'],80 000 000.00 EUR,1,True
34,185937-2018,2018,"European Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Framework Supply Contract for the Supply of Furniture for the eu-LISA’s New Headquarters in Tallinn,Supplies,,1 000 000.00 EUR,"39000000 Furniture (incl. office furniture), furnishings, domestic appliances (excl. lighting) and cleaning products",Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:185937-2018:TEXT:EN:HTML&src=0,1000000.0,1,no,,[' Standard AS'],[' Estonia'],1 000 000.00 EUR,1,False
35,467586-2017,2017,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Eurodac MWO.,Services,,22 690 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Technical evaluation criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:467586-2017:TEXT:EN:HTML&src=0,22690000.0,1,yes,,"[' Consortium Sopra Steria Benelux SA with Bull SAS and 3M Belgium BVBA/SPRL, group leader Sopra Steria Benelux SA', ' BULL SAS', ' 3M Belgium BVBA']","[' Belgium', ' France', ' Belgium']",22 690 000.00 EUR,3,False
36,381971-2017,2017,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,LISA-2017-NP-13 (FWC LISA-2017-OP-01 lot 2).,Services,,1 200 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: Quality / Weighting: 60,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:381971-2017:TEXT:EN:HTML&src=0,1200000.0,1,yes,,"[' Consortium Propager SARL', ' North East West South (NEWS) Travel SA']","[' France', ' France']",4 700 000.00 EUR,2,False
37,057156-2017,2017,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Common shared infrastructure (CSI).,Services,,40 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Technical award criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:057156-2017:TEXT:EN:HTML&src=0,40000000.0,1,no,The contract is likely to be subcontracted,[' Everis Spain SLU succursale en Belgique'],[' Belgium'],40 000 000.00 EUR,1,True
38,205449-2016,2016,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Framework contract for the maintenance in working order of the visa information system (VIS) and biometrics matching system (BMS).,Services,,194 450 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Technical award criteria / Weighting: 60,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:205449-2016:TEXT:EN:HTML&src=0,194450000.0,2,yes,,"[' Consortium Bridge³, represented by the Group Leader Accenture NV/SA', ' Consortium Bridge: consortium member Atos Belgium NV/SA', ' Consortium Bridge³, consortium member Morpho SAS']","[' Belgium', ' Belgium', ' France']",194 450 000.00 EUR,3,False
39,146593-2016,2016,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,Capacity increase Eurodac recast.,Services,,5 226 145.50 EUR,"72000000 IT services: consulting, software development, Internet and support",Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:146593-2016:TEXT:EN:HTML&src=0,5226145.5,1,yes,,"[' Consortium S3B, represented by the group leader Sopra Steria Benelux SA', ' Consortium S3B, consortium member: Bull SAS', ' Consortium S3B, consortium member: 3M Belgium BVBA']","[' Belgium', ' France', ' Belgium']",5 226 145.50 EUR,3,False
