source,target,weight_scale
 Espes Office Sp. z o.o., Espes Office Sp. z o.o.,1
 Espes Office Sp. z o.o., Espes Office Sp. z o.o.,1
 Espes Office Sp. z o.o., Espes Office Sp. z o.o.,1
 New Technology Poland S.A., New Technology Poland S.A.,1
 Art'Impression Catering Sp. z o.o., Wencel Sp. z o.o.,1
 Securitas Polska Sp. z o.o., Securitas Polska Sp. z o.o.,1
 Asseco Poland S.A., Asseco Poland S.A.,1
,,1
 Diamond-Executive Aviation, Diamond-Executive Aviation,1
 GAF AG, GAF AG,1
 Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,1
 Vagia Tzislaki — Lesvorama General Travel Agency, Vagia Tzislaki — Lesvorama General Travel Agency,1
 Vagia Tzislaki — Lesvorama General Travel Agency, Vagia Tzislaki — Lesvorama General Travel Agency,1
 Adria Congrex srl, Adria Congrex srl,3
 Microsoft Sp. z o.o., Microsoft Sp. z o.o.,1
 BoldBrick s.r.o., Fabrity K2 Sp. z o.o.,2
 BoldBrick s.r.o., IT-Dev Sp. z o.o.,2
 Fabrity K2 Sp. z o.o., IT-Dev Sp. z o.o.,2
 Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,1
 Carmenta AB, Carmenta AB,1
of Agence Gemra, BTCS Sp. z o.o.,1
of Agence Gemra, GTC AMG Sp. z o.o.,1
 BTCS Sp. z o.o., GTC AMG Sp. z o.o.,1
 Asseco Poland SA, Asseco Poland SA,2
 Grafton Recruitment Polska Sp. z o.o., Grafton Recruitment Polska Sp. z o.o.,1
 Zeticon NV, Zeticon NV,1
 Wisag Polska Sp. z o.o., Wisag Polska Sp. z o.o.,1
 Opticoelectron Group, Opticoelectron Group,1
 Opticoelectron Group, Opticoelectron Group,1
of Oktagon Polska Paweł Toffel, AndRee GROUP Andrzej Toffel,1
of Oktagon Polska Paweł Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel,1
 AndRee GROUP Andrzej Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel,1
 e-GEOS SPA, Telespazio France SAS,1
 Israel Aerospace Industries Limited, Malat Division,3
 Leonardo SPA, Leonardo SPA,2
 AS Aircontact, Air Charter Service Limited,7
 AS Aircontact, Air Charter Service Limited,2
 Control system FMN Sp z oo, Control system FMN Sp z oo,1
 Uni Business Centre BV, Nextis services s.r.o.,2
 Uni Business Centre BV, AutoCont CZ a.s.,2
 Uni Business Centre BV, Bechtle direct Polska sp z oo,2
 Nextis services s.r.o., AutoCont CZ a.s.,2
 Nextis services s.r.o., Bechtle direct Polska sp z oo,2
 AutoCont CZ a.s., Bechtle direct Polska sp z oo,2
 Profil nabytek as, Profil nabytek as,1
 Arch sc Mirosława Nowicka Marek Nowicki, Arch sc Mirosława Nowicka Marek Nowicki,1
 MeteoGroup Nederland B.V., MeteoGroup Nederland B.V.,2
 Dotsoft SA, Epsilon Malta Ltd,1
 Asseco Poland SA, ESRI Polska Sp. z o.o.,1
 GeneGIS GI Srl (former GESP Srl), GeneGIS GI Srl (former GESP Srl),1
 BATEX Technische Textilien GmbH, BATEX Technische Textilien GmbH,1
 Pentacomp Systemy Informatyczne S.A., Pentacomp Systemy Informatyczne S.A.,1
 Fabrity K2 Sp. z o.o., Fabrity K2 Sp. z o.o.,1
 Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,1
 SAS Institute Polska Sp. z o.o., SAS Institute Polska Sp. z o.o.,2
 Sunrise Lines E.P.E. (Ltd), Sunrise Lines E.P.E. (Ltd),2
 Pantelopoulos Panagiotis, Pantelopoulos Panagiotis,1
 Samwell Limited, Samwell Limited,1
 InfoCert S.p.A., InfoCert S.p.A.,1
 Polkomtel Sp. z o.o., Polkomtel Sp. z o.o.,2
 SAS Institute Polska Sp. z o.o., SAS Institute Polska Sp. z o.o.,1
 IN-innovative navigation GmbH, IN-innovative navigation GmbH,1
 Andree Group Andrzej Toffel, Decuatro Marketing Promocional S.L.,1
 Andree Group Andrzej Toffel, IGEP SA/NV,1
 Decuatro Marketing Promocional S.L., IGEP SA/NV,1
 DC System Company Sp z oo, DC System Company Sp z oo,1
 Asseco Poland SA, Asseco Poland SA,4
 Ricardo Nederland BV, Ricardo-AEA Ltd,1
 Fleischhacker GmbH and Co. KG, Fleischhacker GmbH and Co. KG,1
 Art’ Impression Catering Sp. z o.o., Art’ Impression Catering Sp. z o.o.,2
 Car Master 2 sp. z o.o. sp.k., Car Master 2 sp. z o.o. sp.k.,1
 Pomilio Blumm SRL, Pomilio Blumm SRL,5
 Jarosław Sztobryn Prooffice, Jarosław Sztobryn Prooffice,1
 Regula Baltija Ltd, Regula Baltija Ltd,1
 Regula Baltija Ltd, Regula Baltija Ltd,1
 GMV Aerospace and Defence SAU, GMV Aerospace and Defence SAU,5
 ZRB Walko Waldemar Koński, ZRB Walko Waldemar Koński,1
 Opticoelectron Group JSCo, Opticoelectron Group JSCo,1
 Windward Ltd, Windward Ltd,1
 Bene Warszawa Sp ZOO, Bene Warszawa Sp ZOO,2
 Espes Office Sp ZOO, Espes Office Sp ZOO,1
 Bene Warszawa Sp ZOO, Bene Warszawa Sp ZOO,1
 Diamond-Executive Aviation Ltd, Diamond-Executive Aviation Ltd,6
 CAE Aviation Sarl, CAE Aviation Sarl,6
 EASP Air BV, EASP Air BV,6
 Indra Sistemas SA, Indra Sistemas SA,6
 City & Guilds of London Institute, City & Guilds of London Institute,1
 Optexim AD, Optexim AD,1
 OPTIX JSC, OPTIX JSC,1
 CAE Aviation, DEA Aviation,3
 CAE Aviation, EASP Air BV,3
 DEA Aviation, EASP Air BV,3
 Opticoelectron Group JSCo, Opticoelectron Group JSCo,2
 Instytut Systemów Bezpieczeństwa Sp. z o.o., ClanTect Ltd,1
 Hawkeye 360, Inc.,1
 Brill AV Media Sp z oo, Brill AV Media Sp z oo,1
 Lazaris A. Gomos D. OE, Lazaris A. Gomos D. OE,2
 Softwin SRL, Intrasoft International S.A.,1
 Softwin SRL, Pecka Studio s.r.o.,1
 Intrasoft International S.A., Pecka Studio s.r.o.,1
 Kaliszuk sp j staff partners, Outworking SA,3
 Kaliszuk sp j staff partners, Grafton Recruitment Sp z oo,3
 Kaliszuk sp j staff partners, GI Group Sp z oo,3
 Outworking SA, Grafton Recruitment Sp z oo,3
 Outworking SA, GI Group Sp z oo,3
 Grafton Recruitment Sp z oo, GI Group Sp z oo,3
 TEKNE Srl, TEKNE Srl,2
 GTC AMG sp. z o.o., GTC AMG sp. z o.o.,1
 Nord Partner sp. z o.o., Nord Partner sp. z o.o.,1
 ESRI Polska, ESRI Polska,1
 CAE Aviation, DEA Aviation Ltd,2
 CAE Aviation, Airborne Technologies GmbH,2
 CAE Aviation, Fly4Less Kft,2
 DEA Aviation Ltd, Airborne Technologies GmbH,2
 DEA Aviation Ltd, Fly4Less Kft,2
 Airborne Technologies GmbH, Fly4Less Kft,2
 CAE Aviation, DEA Aviation,3
 CAE Aviation, EASP Air BV,3
 DEA Aviation, EASP Air BV,3
 CAE Aviation, DEA Aviation,3
 CAE Aviation, EASP Air BV,3
 DEA Aviation, EASP Air BV,3
 CAE Aviation, DEA Aviation,5
 CAE Aviation, EASP Air BV,5
 DEA Aviation, EASP Air BV,5
 eTravel SA, eTravel SA,8
 Defacto Sp z oo, Defacto Sp z oo,3
 CAE Aviation, DEA Aviation Ltd,1
 CAE Aviation, Airborne Technologies GmbH,1
 CAE Aviation, Fly4Less Kft,1
 DEA Aviation Ltd, Airborne Technologies GmbH,1
 DEA Aviation Ltd, Fly4Less Kft,1
 Airborne Technologies GmbH, Fly4Less Kft,1
 CAE Aviation, DEA Aviation Ltd,2
 CAE Aviation, DEA Aviation,2
 CAE Aviation, EASP Air BV,2
 DEA Aviation, EASP Air BV,2
 CAE Aviation, DEA Aviation,3
 CAE Aviation, EASP Air BV,3
 DEA Aviation, EASP Air BV,3
 CAE Aviation, DEA Aviation,4
 CAE Aviation, EASP Air BV,4
 DEA Aviation, EASP Air BV,4
 CAE Aviation, DEA Aviation,2
 CAE Aviation, EASP Air BV,2
 DEA Aviation, EASP Air BV,2
 Air Charter Service Ltd, AS Aircontact,2
 eTravel SA, eTravel SA,11
 Car Master 2 Sp. z o.o. Sp.k, Car Master 2 Sp. z o.o. Sp.k,1
 Carmenta AB, Carmenta AB,1
 VISION BOX -SOLUCOES DE VISAO PORCOMPUTADOR SA, VISION BOX -SOLUCOES DE VISAO PORCOMPUTADOR SA,1
 EVERIS AEROESPACIAL Y DEFENSA SL, EVERIS AEROESPACIAL Y DEFENSA SL,1
 GAF AG, GAF AG,2
 Atende SA, Atende SA,1
ATOS POLSKA S.A. , UNI Systems Information Technology Systems Commercial S.M.S.A. Partner,12
ATOS POLSKA S.A. , UNI Systems Luxembourg S.a.r.l. Partner,12
ATOS POLSKA S.A. , Computer Resources International S.A. Partner,12
ATOS POLSKA S.A. , Avalon Tecnologías de la Información S.L.,12
ATOS POLSKA S.A. , Engineering Ingegneria Informatica S.P.A.,12
ATOS POLSKA S.A. , Fabrity SP. Z O.O.,12
ATOS POLSKA S.A. , JIT Team SP. Z O.O.,12
ATOS POLSKA S.A. , Hellenic Telecommunications Organization S.A. – OTE S.A. ,12
ATOS POLSKA S.A. , FINCONS S.P.A. Partner,12
ATOS POLSKA S.A. , PWC EU Services EESV ,12
ATOS POLSKA S.A. , PWC IT Services SP. Z O.O. Partner,12
ATOS POLSKA S.A. , Soitron Group SE,12
ATOS POLSKA S.A. , Trasys International G.E.I.E.,12
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, UNI Systems Luxembourg S.a.r.l. Partner,12
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Computer Resources International S.A. Partner,12
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Avalon Tecnologías de la Información S.L.,12
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Engineering Ingegneria Informatica S.P.A.,12
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Fabrity SP. Z O.O.,12
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, JIT Team SP. Z O.O.,12
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Hellenic Telecommunications Organization S.A. – OTE S.A. ,12
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, FINCONS S.P.A. Partner,12
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, PWC EU Services EESV ,12
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, PWC IT Services SP. Z O.O. Partner,12
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Soitron Group SE,12
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Trasys International G.E.I.E.,12
 UNI Systems Luxembourg S.a.r.l. Partner, Computer Resources International S.A. Partner,12
 UNI Systems Luxembourg S.a.r.l. Partner, Avalon Tecnologías de la Información S.L.,12
 UNI Systems Luxembourg S.a.r.l. Partner, Engineering Ingegneria Informatica S.P.A.,12
 UNI Systems Luxembourg S.a.r.l. Partner, Fabrity SP. Z O.O.,12
 UNI Systems Luxembourg S.a.r.l. Partner, JIT Team SP. Z O.O.,12
 UNI Systems Luxembourg S.a.r.l. Partner, Hellenic Telecommunications Organization S.A. – OTE S.A. ,12
 UNI Systems Luxembourg S.a.r.l. Partner, FINCONS S.P.A. Partner,12
 UNI Systems Luxembourg S.a.r.l. Partner, PWC EU Services EESV ,12
 UNI Systems Luxembourg S.a.r.l. Partner, PWC IT Services SP. Z O.O. Partner,12
 UNI Systems Luxembourg S.a.r.l. Partner, Soitron Group SE,12
 UNI Systems Luxembourg S.a.r.l. Partner, Trasys International G.E.I.E.,12
 Computer Resources International S.A. Partner, Avalon Tecnologías de la Información S.L.,12
 Computer Resources International S.A. Partner, Engineering Ingegneria Informatica S.P.A.,12
 Computer Resources International S.A. Partner, Fabrity SP. Z O.O.,12
 Computer Resources International S.A. Partner, JIT Team SP. Z O.O.,12
 Computer Resources International S.A. Partner, Hellenic Telecommunications Organization S.A. – OTE S.A. ,12
 Computer Resources International S.A. Partner, FINCONS S.P.A. Partner,12
 Computer Resources International S.A. Partner, PWC EU Services EESV ,12
 Computer Resources International S.A. Partner, PWC IT Services SP. Z O.O. Partner,12
 Computer Resources International S.A. Partner, Soitron Group SE,12
 Computer Resources International S.A. Partner, Trasys International G.E.I.E.,12
 Avalon Tecnologías de la Información S.L., Engineering Ingegneria Informatica S.P.A.,12
 Avalon Tecnologías de la Información S.L., Fabrity SP. Z O.O.,12
 Avalon Tecnologías de la Información S.L., JIT Team SP. Z O.O.,12
 Avalon Tecnologías de la Información S.L., Hellenic Telecommunications Organization S.A. – OTE S.A. ,12
 Avalon Tecnologías de la Información S.L., FINCONS S.P.A. Partner,12
 Avalon Tecnologías de la Información S.L., PWC EU Services EESV ,12
 Avalon Tecnologías de la Información S.L., PWC IT Services SP. Z O.O. Partner,12
 Avalon Tecnologías de la Información S.L., Soitron Group SE,12
 Avalon Tecnologías de la Información S.L., Trasys International G.E.I.E.,12
 Engineering Ingegneria Informatica S.P.A., Fabrity SP. Z O.O.,12
 Engineering Ingegneria Informatica S.P.A., JIT Team SP. Z O.O.,12
 Engineering Ingegneria Informatica S.P.A., Hellenic Telecommunications Organization S.A. – OTE S.A. ,12
 Engineering Ingegneria Informatica S.P.A., FINCONS S.P.A. Partner,12
 Engineering Ingegneria Informatica S.P.A., PWC EU Services EESV ,12
 Engineering Ingegneria Informatica S.P.A., PWC IT Services SP. Z O.O. Partner,12
 Engineering Ingegneria Informatica S.P.A., Soitron Group SE,12
 Engineering Ingegneria Informatica S.P.A., Trasys International G.E.I.E.,12
 Fabrity SP. Z O.O., JIT Team SP. Z O.O.,12
 Fabrity SP. Z O.O., Hellenic Telecommunications Organization S.A. – OTE S.A. ,12
 Fabrity SP. Z O.O., FINCONS S.P.A. Partner,12
 Fabrity SP. Z O.O., PWC EU Services EESV ,12
 Fabrity SP. Z O.O., PWC IT Services SP. Z O.O. Partner,12
 Fabrity SP. Z O.O., Soitron Group SE,12
 Fabrity SP. Z O.O., Trasys International G.E.I.E.,12
 JIT Team SP. Z O.O., Hellenic Telecommunications Organization S.A. – OTE S.A. ,12
 JIT Team SP. Z O.O., FINCONS S.P.A. Partner,12
 JIT Team SP. Z O.O., PWC EU Services EESV ,12
 JIT Team SP. Z O.O., PWC IT Services SP. Z O.O. Partner,12
 JIT Team SP. Z O.O., Soitron Group SE,12
 JIT Team SP. Z O.O., Trasys International G.E.I.E.,12
 Hellenic Telecommunications Organization S.A. – OTE S.A. , FINCONS S.P.A. Partner,12
 Hellenic Telecommunications Organization S.A. – OTE S.A. , PWC EU Services EESV ,12
 Hellenic Telecommunications Organization S.A. – OTE S.A. , PWC IT Services SP. Z O.O. Partner,12
 Hellenic Telecommunications Organization S.A. – OTE S.A. , Soitron Group SE,12
 Hellenic Telecommunications Organization S.A. – OTE S.A. , Trasys International G.E.I.E.,12
 FINCONS S.P.A. Partner, PWC EU Services EESV ,12
 FINCONS S.P.A. Partner, PWC IT Services SP. Z O.O. Partner,12
 FINCONS S.P.A. Partner, Soitron Group SE,12
 FINCONS S.P.A. Partner, Trasys International G.E.I.E.,12
 PWC EU Services EESV , PWC IT Services SP. Z O.O. Partner,12
 PWC EU Services EESV , Soitron Group SE,12
 PWC EU Services EESV , Trasys International G.E.I.E.,12
 PWC IT Services SP. Z O.O. Partner, Soitron Group SE,12
 PWC IT Services SP. Z O.O. Partner, Trasys International G.E.I.E.,12
 Soitron Group SE, Trasys International G.E.I.E.,12
 Windward Ltd, Windward Ltd,2
 Steinbeis 2I GMBH, Steinbeis 2I GMBH,1
 in-innovative navigation GmbH, CNIM AIR SPACE SAS,2
 Bechtle Brussels NV, Bechtle Brussels NV,1
 CAE Aviation, CAE Aviation,2
 DEA Aviation, DEA Aviation,2
 Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,1
 Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,1
 DSV Air and Sea Sp.Zo.o, Pol-Mare Sp.Zo.o,1
 DSV Air and Sea Sp.Zo.o, Maxi Cargo Sp.Zo.o,1
 Pol-Mare Sp.Zo.o, Maxi Cargo Sp.Zo.o,1
 Sicurtransport, Sicurtransport,1
 Airbus DS Airborne Solutions GmbH, Elbit Systems Ltd,17
 Airbus DS Airborne Solutions GmbH, Advanced Technology Center,17
 Elbit Systems Ltd, Advanced Technology Center,17
 Air Charter Service GmbH, AS Aircontact,4
 Air Charter Service GmbH, Air Partner International GmbH,4
 Air Charter Service GmbH, Professional Aviation Solutions GmbH,4
 AS Aircontact, Air Partner International GmbH,4
 AS Aircontact, Professional Aviation Solutions GmbH,4
 Air Partner International GmbH, Professional Aviation Solutions GmbH,4
 Korporacja Wschód Sp. z o.o., Optix SA,5
 International SOS (Belgium) SPRL, International SOS (Belgium) SPRL,1
 Dat-Con d.o.o., Opticoelectron Group JSCo,4
 Opticoelectron Group JSCo, Dat-Con d.o.o.,4
 The Bridge – English Language Centre s.r.o., The Bridge – English Language Centre s.r.o.,1
 Centro Informazione e Educazione Allo Sviluppo Onlus, Centro Informazione e Educazione Allo Sviluppo Onlus,9
 EDISOFT-Empresa de Servicos e Desenvolvimento de Software, S.A.,1
 Meteomatics AG, Meteomatics AG,1
 Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici - , Biblomatica SAC,1
 Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici - , ETT S.P.A.,1
 Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici - , Danmarks Meteorologiske Institut,1
 Biblomatica SAC, ETT S.P.A.,1
 Biblomatica SAC, Danmarks Meteorologiske Institut,1
 ETT S.P.A., Danmarks Meteorologiske Institut,1
 TUSNOVICS INSTRUMENTS Sp. z o. o., TUSNOVICS INSTRUMENTS Sp. z o. o.,1
 Glock Ges. m.b.H., Glock Ges. m.b.H.,2
 Mildat Sp. z o.o., Parasnake Arkadiusz Szewczyk,1
 SAS Institute Sp. z o.o., SAS Institute Sp. z o.o.,2
 Arlen S.A., Arlen S.A.,6
 Arlen S.A., Arlen S.A.,2
 Zintegrowane Systemy Techniczne Sp. z o.o., Zintegrowane Systemy Techniczne Sp. z o.o.,1
 DC System Sp. z o.o., DC System Sp. z o.o.,1
 ARCH s.c. Miroslawa Nowicka, Marek Nowicki,1
 ALAB laboratoria Sp. z o.o., ALAB laboratoria Sp. z o.o.,3
 Petra Medica Sp. z o.o., Petra Medica Sp. z o.o.,1
 DEA Aviation, DEA Aviation,19
 EASP Air BV, 2. Scotty Group Austria GmbH,19
 EASP Air BV, 2Excel Aviation Ltd,19
 2. Scotty Group Austria GmbH, 2Excel Aviation Ltd,19
 DEA Aviation, DEA Aviation,11
 EASP Air BV, 2. Scotty Group Austria GmbH,11
 EASP Air BV, 2Excel Aviation Ltd,11
 2. Scotty Group Austria GmbH, 2Excel Aviation Ltd,11
 ISR Support Europe BV, ISR Support Europe BV,11
 ITHACA — Information Technology for Humanitarian Assistance, Cooperation and Action,2
 ITHACA — Information Technology for Humanitarian Assistance, ITHACA S.R.L.,2
 ITHACA — Information Technology for Humanitarian Assistance, Politecnico DI Torino,2
 ITHACA — Information Technology for Humanitarian Assistance, Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt,2
 ITHACA — Information Technology for Humanitarian Assistance, Epsilon Malta Ltd,2
 ITHACA — Information Technology for Humanitarian Assistance, GEO4MAP S.R.L.,2
 ITHACA — Information Technology for Humanitarian Assistance, Karšu izdevniecība Jāņa sēta SIA,2
 Cooperation and Action, ITHACA S.R.L.,2
 Cooperation and Action, Politecnico DI Torino,2
 Cooperation and Action, Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt,2
 Cooperation and Action, Epsilon Malta Ltd,2
 Cooperation and Action, GEO4MAP S.R.L.,2
 Cooperation and Action, Karšu izdevniecība Jāņa sēta SIA,2
 ITHACA S.R.L., Politecnico DI Torino,2
 ITHACA S.R.L., Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt,2
 ITHACA S.R.L., Epsilon Malta Ltd,2
 ITHACA S.R.L., GEO4MAP S.R.L.,2
 ITHACA S.R.L., Karšu izdevniecība Jāņa sēta SIA,2
 Politecnico DI Torino, Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt,2
 Politecnico DI Torino, Epsilon Malta Ltd,2
 Politecnico DI Torino, GEO4MAP S.R.L.,2
 Politecnico DI Torino, Karšu izdevniecība Jāņa sēta SIA,2
 Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt, Epsilon Malta Ltd,2
 Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt, GEO4MAP S.R.L.,2
 Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt, Karšu izdevniecība Jāņa sēta SIA,2
 Epsilon Malta Ltd, GEO4MAP S.R.L.,2
 Epsilon Malta Ltd, Karšu izdevniecība Jāņa sēta SIA,2
 GEO4MAP S.R.L., Karšu izdevniecība Jāņa sēta SIA,2
 Sopra Steria Benelux SA/NV, Idemia Identity and Security France SAS,3
 IGEFA Handelsgesellschaft mbH & Co. KG, International SOS Europe Government Services S.R.L.,21
 IGEFA Handelsgesellschaft mbH & Co. KG, Kronosan S.R.L.,21
 IGEFA Handelsgesellschaft mbH & Co. KG, N.B.C. System S.R.L.,21
 IGEFA Handelsgesellschaft mbH & Co. KG, BLS S.R.L.,21
 International SOS Europe Government Services S.R.L., Kronosan S.R.L.,21
 International SOS Europe Government Services S.R.L., N.B.C. System S.R.L.,21
 International SOS Europe Government Services S.R.L., BLS S.R.L.,21
 Kronosan S.R.L., N.B.C. System S.R.L.,21
 Kronosan S.R.L., BLS S.R.L.,21
 N.B.C. System S.R.L., BLS S.R.L.,21
 NaviGate Sp. z o.o., Aviation Technik Sp. z o.o.,2
