id_contract,source,target,weight,weight_scale
192608-2018, Espes Office Sp ZOO, Espes Office Sp ZOO,650000.0,2
192608-2018, Bene Warszawa Sp ZOO, Bene Warszawa Sp ZOO,200000.0,1
118656-2018, Diamond-Executive Aviation Ltd, Diamond-Executive Aviation Ltd,14500000.0,30
118656-2018, CAE Aviation Sarl, CAE Aviation Sarl,14500000.0,30
118656-2018, EASP Air BV, EASP Air BV,14500000.0,30
118656-2018, Indra Sistemas SA, Indra Sistemas SA,14500000.0,30
109766-2018, City & Guilds of London Institute, City & Guilds of London Institute,1400000.0,4
109763-2018, Optexim AD, Optexim AD,100000.0,1
077715-2018, OPTIX JSC, OPTIX JSC,1250000.0,3
060068-2018, Opticoelectron Group, Opticoelectron Group,500000.0,2
060067-2018, Opticoelectron Group, Opticoelectron Group,400000.0,2
055820-2018,of Oktagon Polska Paweł Toffel, AndRee GROUP Andrzej Toffel,400000.0,2
055820-2018,of Oktagon Polska Paweł Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel,400000.0,2
055820-2018, AndRee GROUP Andrzej Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel,400000.0,2
024591-2018, e-GEOS SPA, Telespazio France SAS,369000.0,2
010629-2018, Israel Aerospace Industries Limited, Malat Division,4750000.0,10
010629-2018, Leonardo SPA, Leonardo SPA,1697000.0,4
010627-2018, AS Aircontact, Air Charter Service Limited,18000000.0,37
010627-2018, AS Aircontact, Air Charter Service Limited,2000000.0,5
008449-2018, Control system FMN Sp z oo, Control system FMN Sp z oo,190000.0,1
508644-2017, Uni Business Centre BV, Nextis services s.r.o.,2000000.0,5
508644-2017, Uni Business Centre BV, AutoCont CZ a.s.,2000000.0,5
508644-2017, Uni Business Centre BV, Bechtle direct Polska sp z oo,2000000.0,5
508644-2017, Nextis services s.r.o., AutoCont CZ a.s.,2000000.0,5
508644-2017, Nextis services s.r.o., Bechtle direct Polska sp z oo,2000000.0,5
508644-2017, AutoCont CZ a.s., Bechtle direct Polska sp z oo,2000000.0,5
508643-2017, Profil nabytek as, Profil nabytek as,368000.0,2
437394-2017, Arch sc Mirosława Nowicka Marek Nowicki, Arch sc Mirosława Nowicka Marek Nowicki,180000.0,1
422204-2017, MeteoGroup Nederland B.V., MeteoGroup Nederland B.V.,3200000.0,7
417410-2017, Dotsoft SA, Epsilon Malta Ltd,1100000.0,3
417410-2017, Asseco Poland SA, ESRI Polska Sp. z o.o.,1100000.0,3
417410-2017, GeneGIS GI Srl (former GESP Srl), GeneGIS GI Srl (former GESP Srl),1100000.0,3
412856-2017, BATEX Technische Textilien GmbH, BATEX Technische Textilien GmbH,1120000.0,3
367807-2017, Pentacomp Systemy Informatyczne S.A., Pentacomp Systemy Informatyczne S.A.,600000.0,2
367807-2017, Fabrity K2 Sp. z o.o., Fabrity K2 Sp. z o.o.,600000.0,2
351634-2017, Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,439593.32,2
321184-2017, SAS Institute Polska Sp. z o.o., SAS Institute Polska Sp. z o.o.,1900000.0,5
265067-2017, Sunrise Lines E.P.E. (Ltd), Sunrise Lines E.P.E. (Ltd),2000000.0,5
265067-2017, Pantelopoulos Panagiotis, Pantelopoulos Panagiotis,1000000.0,3
265067-2017, Samwell Limited, Samwell Limited,1000000.0,3
251218-2017, InfoCert S.p.A., InfoCert S.p.A.,234035.0,1
131551-2017, Polkomtel Sp. z o.o., Polkomtel Sp. z o.o.,1969968.0,5
025283-2017, GAF AG, GAF AG,228600.0,1
022994-2017, Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,189630.0,1
000007-2017, Vagia Tzislaki — Lesvorama General Travel Agency, Vagia Tzislaki — Lesvorama General Travel Agency,150000.0,1
000007-2017, Vagia Tzislaki — Lesvorama General Travel Agency, Vagia Tzislaki — Lesvorama General Travel Agency,150000.0,1
434977-2016, Adria Congrex srl, Adria Congrex srl,6000000.0,13
364567-2016, Microsoft Sp. z o.o., Microsoft Sp. z o.o.,311888.5,2
342906-2016, BoldBrick s.r.o., Fabrity K2 Sp. z o.o.,2650000.0,6
342906-2016, BoldBrick s.r.o., IT-Dev Sp. z o.o.,2650000.0,6
342906-2016, Fabrity K2 Sp. z o.o., IT-Dev Sp. z o.o.,2650000.0,6
320222-2016, Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,1276694.0,4
395124-2015, Carmenta AB, Carmenta AB,112795.0,1
387513-2015,of Agence Gemra, BTCS Sp. z o.o.,500000.0,2
387513-2015,of Agence Gemra, GTC AMG Sp. z o.o.,500000.0,2
387513-2015, BTCS Sp. z o.o., GTC AMG Sp. z o.o.,500000.0,2
387512-2015, Asseco Poland SA, Asseco Poland SA,4200000.0,9
387511-2015, Grafton Recruitment Polska Sp. z o.o., Grafton Recruitment Polska Sp. z o.o.,1500000.0,4
299325-2015, Zeticon NV, Zeticon NV,645960.0,2
268327-2015, Wisag Polska Sp. z o.o., Wisag Polska Sp. z o.o.,195000.0,1
183486-2015, MeteoGroup Polska Sp. z o.o., MeteoGroup Polska Sp. z o.o.,810000.0,3
148655-2015, Events Center Creative Agency Krzysztof Koczur, Events Center Creative Agency Krzysztof Koczur,36513.443999999996,1
114725-2015, Belvedere — Cafe Łazienki Królewskie Sp. z o.o., Belvedere — Cafe Łazienki Królewskie Sp. z o.o.,88710.6,1
114724-2015, Events Center Creative Agency Koczur Krzysztof, Events Center Creative Agency Koczur Krzysztof,8816.06,1
020285-2015, Events Center Creative Agency Koczur Krzysztof, Events Center Creative Agency Koczur Krzysztof,86372.96800000001,1
011967-2015, Ever Grupa Sp. z o.o., Ever Grupa Sp. z o.o.,530000.0,2
411329-2014, Atos IT Solutions and Services Iberia S.L., Atos IT Solutions and Services Iberia S.L.,578378.35,2
394997-2014, Espes Office Sp. z o.o., Espes Office Sp. z o.o.,368275.0,2
394997-2014, Espes Office Sp. z o.o., Espes Office Sp. z o.o.,368275.0,2
394997-2014, Espes Office Sp. z o.o., Espes Office Sp. z o.o.,368275.0,2
334437-2014, New Technology Poland S.A., New Technology Poland S.A.,325120.0,2
309706-2014, Art'Impression Catering Sp. z o.o., Wencel Sp. z o.o.,137348.0,1
304209-2014, Securitas Polska Sp. z o.o., Securitas Polska Sp. z o.o.,480000.0,2
263315-2014, Asseco Poland S.A., Asseco Poland S.A.,201971.67,1
156158-2014, General Court, General Court,0.0,1
106392-2014, Diamond-Executive Aviation, Diamond-Executive Aviation,270000.0,2
019784-2014, Ingeniería de Sistemas para la Defensa de España SA, Ingeniería de Sistemas para la Defensa de España SA,74251.59,1
017853-2014, GMV Aerospace and Defence S.A.U., GMV Aerospace and Defence S.A.U.,12000000.0,25
