source,target,weight_scale
 Everis Belgique SPRL  of Ecos Consortium,Sopra Steria,100
 Everis Belgique SPRL  of Ecos Consortium, Hellenic Telecommunications Organization OTE S.A.,100
 Cancom On Line BV,Sopra Steria,100
 Cancom On Line BV, Hellenic Telecommunications Organization OTE S.A.,100
Sopra Steria, Hellenic Telecommunications Organization OTE S.A.,100
ANTTIS,3M Belgium BVBA,100
 Intrasoft International SA, Intrasoft International SA,43
Atos,Atos,43
European Dynamics,European Dynamics,43
Sopra Steria, Everis Belgique SPRL,43
 ARHS Developments SA , Sword Technologies SA,43
 365JP OÜ, 365JP OÜ,1
Idemia,Sopra Steria,69
 Unisys Belgium SA, PwC EU Services EESV,4
 Unisys Belgium SA, UniSystems Information Technology Systems Commercial SMSA,4
 PwC EU Services EESV, UniSystems Information Technology Systems Commercial SMSA,4
Infeurope SA,Infeurope SA,2
 Civitta Eesti AS, Advokaadiburoo Sorainen AS,2
 Vector Synergy Spolka z Ograniczona Odpowiedzianoscia, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,2
 Unisys Belgium SA, PwC EU Services EESV,11
 Unisys Belgium SA, UniSystems Information Technology Systems Commercial SMSA,11
 PwC EU Services EESV, UniSystems Information Technology Systems Commercial SMSA,11
 CGITI Portugal SA, CGITI Portugal SA,11
 Engineering Ingegneria Informatica S.p.A., Engineering Ingegneria Informatica S.p.A.,11
Infeurope SA,Infeurope SA,4
 Civitta Eesti AS, Advokaadiburoo Sorainen AS,4
 Vector Synergy Spolka z Ograniczona Odpowiedzianoscia, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,4
Infeurope SA,Infeurope SA,2
ELIN GmbH,ELIN GmbH,2
 Bechtle Brussels NV, Bechtle Brussels NV,1
 CAE Aviation, CAE Aviation,2
 DEA Aviation, DEA Aviation,2
 Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,1
 Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,1
 DSV Air and Sea Sp.Zo.o, Pol-Mare Sp.Zo.o,1
 DSV Air and Sea Sp.Zo.o, Maxi Cargo Sp.Zo.o,1
 Pol-Mare Sp.Zo.o, Maxi Cargo Sp.Zo.o,1
 Sicurtransport, Sicurtransport,1
 Airbus DS Airborne Solutions GmbH, Elbit Systems Ltd,12
 Airbus DS Airborne Solutions GmbH, Advanced Technology Center,12
 Elbit Systems Ltd, Advanced Technology Center,12
 Air Charter Service GmbH, AS Aircontact,3
 Air Charter Service GmbH, Air Partner International GmbH,3
 Air Charter Service GmbH, Professional Aviation Solutions GmbH,3
 AS Aircontact, Air Partner International GmbH,3
 AS Aircontact, Professional Aviation Solutions GmbH,3
 Air Partner International GmbH, Professional Aviation Solutions GmbH,3
 Korporacja Wschód Sp. z o.o., Optix SA,4
 International SOS (Belgium) SPRL, International SOS (Belgium) SPRL,1
 Dat-Con d.o.o., Opticoelectron Group JSCo,3
 Opticoelectron Group JSCo, Dat-Con d.o.o.,3
 The Bridge – English Language Centre s.r.o., The Bridge – English Language Centre s.r.o.,1
 Centro Informazione e Educazione Allo Sviluppo Onlus, Centro Informazione e Educazione Allo Sviluppo Onlus,7
 EDISOFT-Empresa de Servicos e Desenvolvimento de Software, S.A.,1
 CAE Aviation, DEA Aviation,3
 CAE Aviation, EASP Air BV,3
 DEA Aviation, EASP Air BV,3
 Opticoelectron Group JSCo, Opticoelectron Group JSCo,2
 Instytut Systemów Bezpieczeństwa Sp. z o.o., ClanTect Ltd,1
 Hawkeye 360, Inc.,1
 Brill AV Media Sp z oo, Brill AV Media Sp z oo,1
 Lazaris A. Gomos D. OE, Lazaris A. Gomos D. OE,1
 Softwin SRL, Intrasoft International S.A.,1
 Softwin SRL, Pecka Studio s.r.o.,1
 Intrasoft International S.A., Pecka Studio s.r.o.,1
 Kaliszuk sp j staff partners, Outworking SA,2
 Kaliszuk sp j staff partners, Grafton Recruitment Sp z oo,2
 Kaliszuk sp j staff partners, GI Group Sp z oo,2
 Outworking SA, Grafton Recruitment Sp z oo,2
 Outworking SA, GI Group Sp z oo,2
 Grafton Recruitment Sp z oo, GI Group Sp z oo,2
 TEKNE Srl, TEKNE Srl,1
 GTC AMG sp. z o.o., GTC AMG sp. z o.o.,1
 Nord Partner sp. z o.o., Nord Partner sp. z o.o.,1
 ESRI Polska, ESRI Polska,1
 CAE Aviation, DEA Aviation Ltd,2
 CAE Aviation, Airborne Technologies GmbH,2
 CAE Aviation, Fly4Less Kft,2
 DEA Aviation Ltd, Airborne Technologies GmbH,2
 DEA Aviation Ltd, Fly4Less Kft,2
 Airborne Technologies GmbH, Fly4Less Kft,2
 CAE Aviation, DEA Aviation,2
 CAE Aviation, EASP Air BV,2
 DEA Aviation, EASP Air BV,2
 CAE Aviation, DEA Aviation,3
 CAE Aviation, EASP Air BV,3
 DEA Aviation, EASP Air BV,3
 CAE Aviation, DEA Aviation,4
 CAE Aviation, EASP Air BV,4
 DEA Aviation, EASP Air BV,4
 eTravel SA, eTravel SA,5
 Defacto Sp z oo, Defacto Sp z oo,2
 CAE Aviation, DEA Aviation Ltd,1
 CAE Aviation, Airborne Technologies GmbH,1
 CAE Aviation, Fly4Less Kft,1
 DEA Aviation Ltd, Airborne Technologies GmbH,1
 DEA Aviation Ltd, Fly4Less Kft,1
 Airborne Technologies GmbH, Fly4Less Kft,1
 CAE Aviation, DEA Aviation Ltd,2
 CAE Aviation, DEA Aviation,2
 CAE Aviation, EASP Air BV,2
 DEA Aviation, EASP Air BV,2
 CAE Aviation, DEA Aviation,2
 CAE Aviation, EASP Air BV,2
 DEA Aviation, EASP Air BV,2
 CAE Aviation, DEA Aviation,3
 CAE Aviation, EASP Air BV,3
 DEA Aviation, EASP Air BV,3
 CAE Aviation, DEA Aviation,2
 CAE Aviation, EASP Air BV,2
 DEA Aviation, EASP Air BV,2
 Air Charter Service Ltd, AS Aircontact,2
 eTravel SA, eTravel SA,8
 Car Master 2 Sp. z o.o. Sp.k, Car Master 2 Sp. z o.o. Sp.k,1
 Carmenta AB, Carmenta AB,1
 SAS Institute Polska Sp. z o.o., SAS Institute Polska Sp. z o.o.,1
 IN-innovative navigation GmbH, IN-innovative navigation GmbH,1
 Andree Group Andrzej Toffel, Decuatro Marketing Promocional S.L.,1
 Andree Group Andrzej Toffel, IGEP SA/NV,1
 Decuatro Marketing Promocional S.L., IGEP SA/NV,1
 DC System Company Sp z oo, DC System Company Sp z oo,1
 Asseco Poland SA, Asseco Poland SA,3
 Ricardo Nederland BV, Ricardo-AEA Ltd,1
 Fleischhacker GmbH and Co. KG, Fleischhacker GmbH and Co. KG,1
 Art’ Impression Catering Sp. z o.o., Art’ Impression Catering Sp. z o.o.,1
 Car Master 2 sp. z o.o. sp.k., Car Master 2 sp. z o.o. sp.k.,1
 Pomilio Blumm SRL, Pomilio Blumm SRL,4
 Jarosław Sztobryn Prooffice, Jarosław Sztobryn Prooffice,1
 Regula Baltija Ltd, Regula Baltija Ltd,1
 Regula Baltija Ltd, Regula Baltija Ltd,1
 GMV Aerospace and Defence SAU, GMV Aerospace and Defence SAU,4
 ZRB Walko Waldemar Koński, ZRB Walko Waldemar Koński,1
 Opticoelectron Group JSCo, Opticoelectron Group JSCo,1
 Windward Ltd, Windward Ltd,1
 Bene Warszawa Sp ZOO, Bene Warszawa Sp ZOO,2
 Espes Office Sp ZOO, Espes Office Sp ZOO,1
 Bene Warszawa Sp ZOO, Bene Warszawa Sp ZOO,1
 Diamond-Executive Aviation Ltd, Diamond-Executive Aviation Ltd,4
 CAE Aviation Sarl, CAE Aviation Sarl,4
 EASP Air BV, EASP Air BV,4
 Indra Sistemas SA, Indra Sistemas SA,4
 City & Guilds of London Institute, City & Guilds of London Institute,1
 Optexim AD, Optexim AD,1
 OPTIX JSC, OPTIX JSC,1
 Opticoelectron Group, Opticoelectron Group,1
 Opticoelectron Group, Opticoelectron Group,1
of Oktagon Polska Paweł Toffel, AndRee GROUP Andrzej Toffel,1
of Oktagon Polska Paweł Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel,1
 AndRee GROUP Andrzej Toffel, ADART S.C. led by Oktagon Polska Paweł Toffel,1
 e-GEOS SPA, Telespazio France SAS,1
 Israel Aerospace Industries Limited, Malat Division,2
 Leonardo SPA, Leonardo SPA,1
 AS Aircontact, Air Charter Service Limited,5
 AS Aircontact, Air Charter Service Limited,1
 Control system FMN Sp z oo, Control system FMN Sp z oo,1
 Uni Business Centre BV, Nextis services s.r.o.,1
 Uni Business Centre BV, AutoCont CZ a.s.,1
 Uni Business Centre BV, Bechtle direct Polska sp z oo,1
 Nextis services s.r.o., AutoCont CZ a.s.,1
 Nextis services s.r.o., Bechtle direct Polska sp z oo,1
 AutoCont CZ a.s., Bechtle direct Polska sp z oo,1
 Profil nabytek as, Profil nabytek as,1
 Arch sc Mirosława Nowicka Marek Nowicki, Arch sc Mirosława Nowicka Marek Nowicki,1
 MeteoGroup Nederland B.V., MeteoGroup Nederland B.V.,2
 Dotsoft SA, Epsilon Malta Ltd,1
 Asseco Poland SA, ESRI Polska Sp. z o.o.,1
 GeneGIS GI Srl (former GESP Srl), GeneGIS GI Srl (former GESP Srl),1
 BATEX Technische Textilien GmbH, BATEX Technische Textilien GmbH,1
 Pentacomp Systemy Informatyczne S.A., Pentacomp Systemy Informatyczne S.A.,1
 Fabrity K2 Sp. z o.o., Fabrity K2 Sp. z o.o.,1
 Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,1
 SAS Institute Polska Sp. z o.o., SAS Institute Polska Sp. z o.o.,1
 Sunrise Lines E.P.E. (Ltd), Sunrise Lines E.P.E. (Ltd),1
 Pantelopoulos Panagiotis, Pantelopoulos Panagiotis,1
 Samwell Limited, Samwell Limited,1
 InfoCert S.p.A., InfoCert S.p.A.,1
 Polkomtel Sp. z o.o., Polkomtel Sp. z o.o.,1
 GAF AG, GAF AG,1
 Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,1
 Vagia Tzislaki — Lesvorama General Travel Agency, Vagia Tzislaki — Lesvorama General Travel Agency,1
 Vagia Tzislaki — Lesvorama General Travel Agency, Vagia Tzislaki — Lesvorama General Travel Agency,1
 Adria Congrex srl, Adria Congrex srl,2
 Microsoft Sp. z o.o., Microsoft Sp. z o.o.,1
 BoldBrick s.r.o., Fabrity K2 Sp. z o.o.,2
 BoldBrick s.r.o., IT-Dev Sp. z o.o.,2
 Fabrity K2 Sp. z o.o., IT-Dev Sp. z o.o.,2
 Netcompany IT and Business Consulting A/S, Netcompany IT and Business Consulting A/S,1
 Carmenta AB, Carmenta AB,1
of Agence Gemra, BTCS Sp. z o.o.,1
of Agence Gemra, GTC AMG Sp. z o.o.,1
 BTCS Sp. z o.o., GTC AMG Sp. z o.o.,1
 Asseco Poland SA, Asseco Poland SA,2
 Grafton Recruitment Polska Sp. z o.o., Grafton Recruitment Polska Sp. z o.o.,1
 Zeticon NV, Zeticon NV,1
 Wisag Polska Sp. z o.o., Wisag Polska Sp. z o.o.,1
 MeteoGroup Polska Sp. z o.o., MeteoGroup Polska Sp. z o.o.,1
 Events Center Creative Agency Krzysztof Koczur, Events Center Creative Agency Krzysztof Koczur,1
 Belvedere — Cafe Łazienki Królewskie Sp. z o.o., Belvedere — Cafe Łazienki Królewskie Sp. z o.o.,1
 Events Center Creative Agency Koczur Krzysztof, Events Center Creative Agency Koczur Krzysztof,1
 Events Center Creative Agency Koczur Krzysztof, Events Center Creative Agency Koczur Krzysztof,1
 Ever Grupa Sp. z o.o., Ever Grupa Sp. z o.o.,1
 Atos IT Solutions and Services Iberia S.L., Atos IT Solutions and Services Iberia S.L.,1
 Espes Office Sp. z o.o., Espes Office Sp. z o.o.,1
 Espes Office Sp. z o.o., Espes Office Sp. z o.o.,1
 Espes Office Sp. z o.o., Espes Office Sp. z o.o.,1
 New Technology Poland S.A., New Technology Poland S.A.,1
 Art'Impression Catering Sp. z o.o., Wencel Sp. z o.o.,1
 Securitas Polska Sp. z o.o., Securitas Polska Sp. z o.o.,1
 Asseco Poland S.A., Asseco Poland S.A.,1
,,1
 Diamond-Executive Aviation, Diamond-Executive Aviation,1
 Ingeniería de Sistemas para la Defensa de España SA, Ingeniería de Sistemas para la Defensa de España SA,1
 GMV Aerospace and Defence S.A.U., GMV Aerospace and Defence S.A.U.,4
