source,target,weight_scale
 Outworking SA, GI Group Sp z oo,9
 Grafton Recruitment Sp z oo, GI Group Sp z oo,9
 TEKNE Srl, TEKNE Srl,4
 GTC AMG sp. z o.o., GTC AMG sp. z o.o.,2
 Nord Partner sp. z o.o., Nord Partner sp. z o.o.,1
 ESRI Polska, ESRI Polska,1
 CAE Aviation, DEA Aviation Ltd,5
 CAE Aviation, Airborne Technologies GmbH,5
 CAE Aviation, Fly4Less Kft,5
 DEA Aviation Ltd, Airborne Technologies GmbH,5
 DEA Aviation Ltd, Fly4Less Kft,5
 Airborne Technologies GmbH, Fly4Less Kft,5
 CAE Aviation, DEA Aviation,11
 CAE Aviation, EASP Air BV,11
 DEA Aviation, EASP Air BV,11
 CAE Aviation, DEA Aviation,13
 CAE Aviation, EASP Air BV,13
 DEA Aviation, EASP Air BV,13
 CAE Aviation, DEA Aviation,23
 CAE Aviation, EASP Air BV,23
 DEA Aviation, EASP Air BV,23
 eTravel SA, eTravel SA,34
 Defacto Sp z oo, Defacto Sp z oo,11
 CAE Aviation, DEA Aviation Ltd,3
 CAE Aviation, Airborne Technologies GmbH,3
 CAE Aviation, Fly4Less Kft,3
 DEA Aviation Ltd, Airborne Technologies GmbH,3
 DEA Aviation Ltd, Fly4Less Kft,3
 Airborne Technologies GmbH, Fly4Less Kft,3
 CAE Aviation, DEA Aviation Ltd,5
 CAE Aviation, DEA Aviation,8
 CAE Aviation, EASP Air BV,8
 DEA Aviation, EASP Air BV,8
 CAE Aviation, DEA Aviation,9
 CAE Aviation, EASP Air BV,9
 DEA Aviation, EASP Air BV,9
 CAE Aviation, DEA Aviation,16
 CAE Aviation, EASP Air BV,16
 DEA Aviation, EASP Air BV,16
 CAE Aviation, DEA Aviation,8
 CAE Aviation, EASP Air BV,8
 DEA Aviation, EASP Air BV,8
 Air Charter Service Ltd, AS Aircontact,6
 eTravel SA, eTravel SA,50
 Car Master 2 Sp. z o.o. Sp.k, Car Master 2 Sp. z o.o. Sp.k,3
 Carmenta AB, Carmenta AB,1
 VISION BOX -SOLUCOES DE VISAO PORCOMPUTADOR SA, VISION BOX -SOLUCOES DE VISAO PORCOMPUTADOR SA,2
 EVERIS AEROESPACIAL Y DEFENSA SL, EVERIS AEROESPACIAL Y DEFENSA SL,2
 GAF AG, GAF AG,8
 Atende SA, Atende SA,1
ATOS POLSKA S.A. , UNI Systems Information Technology Systems Commercial S.M.S.A. Partner,57
ATOS POLSKA S.A. , UNI Systems Luxembourg S.a.r.l. Partner,57
ATOS POLSKA S.A. , Computer Resources International S.A. Partner,57
ATOS POLSKA S.A. , Avalon Tecnologías de la Información S.L.,57
ATOS POLSKA S.A. , Engineering Ingegneria Informatica S.P.A.,57
ATOS POLSKA S.A. , Fabrity SP. Z O.O.,57
ATOS POLSKA S.A. , JIT Team SP. Z O.O.,57
ATOS POLSKA S.A. , Hellenic Telecommunications Organization S.A. – OTE S.A. ,57
ATOS POLSKA S.A. , FINCONS S.P.A. Partner,57
ATOS POLSKA S.A. , PWC EU Services EESV ,57
ATOS POLSKA S.A. , PWC IT Services SP. Z O.O. Partner,57
ATOS POLSKA S.A. , Soitron Group SE,57
ATOS POLSKA S.A. , Trasys International G.E.I.E.,57
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, UNI Systems Luxembourg S.a.r.l. Partner,57
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Computer Resources International S.A. Partner,57
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Avalon Tecnologías de la Información S.L.,57
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Engineering Ingegneria Informatica S.P.A.,57
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Fabrity SP. Z O.O.,57
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, JIT Team SP. Z O.O.,57
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Hellenic Telecommunications Organization S.A. – OTE S.A. ,57
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, FINCONS S.P.A. Partner,57
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, PWC EU Services EESV ,57
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, PWC IT Services SP. Z O.O. Partner,57
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Soitron Group SE,57
 UNI Systems Information Technology Systems Commercial S.M.S.A. Partner, Trasys International G.E.I.E.,57
 UNI Systems Luxembourg S.a.r.l. Partner, Computer Resources International S.A. Partner,57
 UNI Systems Luxembourg S.a.r.l. Partner, Avalon Tecnologías de la Información S.L.,57
 UNI Systems Luxembourg S.a.r.l. Partner, Engineering Ingegneria Informatica S.P.A.,57
 UNI Systems Luxembourg S.a.r.l. Partner, Fabrity SP. Z O.O.,57
 UNI Systems Luxembourg S.a.r.l. Partner, JIT Team SP. Z O.O.,57
 UNI Systems Luxembourg S.a.r.l. Partner, Hellenic Telecommunications Organization S.A. – OTE S.A. ,57
 UNI Systems Luxembourg S.a.r.l. Partner, FINCONS S.P.A. Partner,57
 UNI Systems Luxembourg S.a.r.l. Partner, PWC EU Services EESV ,57
 UNI Systems Luxembourg S.a.r.l. Partner, PWC IT Services SP. Z O.O. Partner,57
 UNI Systems Luxembourg S.a.r.l. Partner, Soitron Group SE,57
 UNI Systems Luxembourg S.a.r.l. Partner, Trasys International G.E.I.E.,57
 Computer Resources International S.A. Partner, Avalon Tecnologías de la Información S.L.,57
 Computer Resources International S.A. Partner, Engineering Ingegneria Informatica S.P.A.,57
 Computer Resources International S.A. Partner, Fabrity SP. Z O.O.,57
 Computer Resources International S.A. Partner, JIT Team SP. Z O.O.,57
 Computer Resources International S.A. Partner, Hellenic Telecommunications Organization S.A. – OTE S.A. ,57
 Computer Resources International S.A. Partner, FINCONS S.P.A. Partner,57
 Computer Resources International S.A. Partner, PWC EU Services EESV ,57
 Computer Resources International S.A. Partner, PWC IT Services SP. Z O.O. Partner,57
 Computer Resources International S.A. Partner, Soitron Group SE,57
 Computer Resources International S.A. Partner, Trasys International G.E.I.E.,57
 Avalon Tecnologías de la Información S.L., Engineering Ingegneria Informatica S.P.A.,57
 Avalon Tecnologías de la Información S.L., Fabrity SP. Z O.O.,57
 Avalon Tecnologías de la Información S.L., JIT Team SP. Z O.O.,57
 Avalon Tecnologías de la Información S.L., Hellenic Telecommunications Organization S.A. – OTE S.A. ,57
 Avalon Tecnologías de la Información S.L., FINCONS S.P.A. Partner,57
 Avalon Tecnologías de la Información S.L., PWC EU Services EESV ,57
 Avalon Tecnologías de la Información S.L., PWC IT Services SP. Z O.O. Partner,57
 Avalon Tecnologías de la Información S.L., Soitron Group SE,57
 Avalon Tecnologías de la Información S.L., Trasys International G.E.I.E.,57
 Engineering Ingegneria Informatica S.P.A., Fabrity SP. Z O.O.,57
 Engineering Ingegneria Informatica S.P.A., JIT Team SP. Z O.O.,57
 Engineering Ingegneria Informatica S.P.A., Hellenic Telecommunications Organization S.A. – OTE S.A. ,57
 Engineering Ingegneria Informatica S.P.A., FINCONS S.P.A. Partner,57
 Engineering Ingegneria Informatica S.P.A., PWC EU Services EESV ,57
 Engineering Ingegneria Informatica S.P.A., PWC IT Services SP. Z O.O. Partner,57
 Engineering Ingegneria Informatica S.P.A., Soitron Group SE,57
 Engineering Ingegneria Informatica S.P.A., Trasys International G.E.I.E.,57
 Fabrity SP. Z O.O., JIT Team SP. Z O.O.,57
 Fabrity SP. Z O.O., Hellenic Telecommunications Organization S.A. – OTE S.A. ,57
 Fabrity SP. Z O.O., FINCONS S.P.A. Partner,57
 Fabrity SP. Z O.O., PWC EU Services EESV ,57
 Fabrity SP. Z O.O., PWC IT Services SP. Z O.O. Partner,57
 Fabrity SP. Z O.O., Soitron Group SE,57
 Fabrity SP. Z O.O., Trasys International G.E.I.E.,57
 JIT Team SP. Z O.O., Hellenic Telecommunications Organization S.A. – OTE S.A. ,57
 JIT Team SP. Z O.O., FINCONS S.P.A. Partner,57
 JIT Team SP. Z O.O., PWC EU Services EESV ,57
 JIT Team SP. Z O.O., PWC IT Services SP. Z O.O. Partner,57
 JIT Team SP. Z O.O., Soitron Group SE,57
 JIT Team SP. Z O.O., Trasys International G.E.I.E.,57
 Hellenic Telecommunications Organization S.A. – OTE S.A. , FINCONS S.P.A. Partner,57
 Hellenic Telecommunications Organization S.A. – OTE S.A. , PWC EU Services EESV ,57
 Hellenic Telecommunications Organization S.A. – OTE S.A. , PWC IT Services SP. Z O.O. Partner,57
 Hellenic Telecommunications Organization S.A. – OTE S.A. , Soitron Group SE,57
 Hellenic Telecommunications Organization S.A. – OTE S.A. , Trasys International G.E.I.E.,57
 FINCONS S.P.A. Partner, PWC EU Services EESV ,57
 FINCONS S.P.A. Partner, PWC IT Services SP. Z O.O. Partner,57
 FINCONS S.P.A. Partner, Soitron Group SE,57
 FINCONS S.P.A. Partner, Trasys International G.E.I.E.,57
 PWC EU Services EESV , PWC IT Services SP. Z O.O. Partner,57
 PWC EU Services EESV , Soitron Group SE,57
 PWC EU Services EESV , Trasys International G.E.I.E.,57
 PWC IT Services SP. Z O.O. Partner, Soitron Group SE,57
 PWC IT Services SP. Z O.O. Partner, Trasys International G.E.I.E.,57
 Soitron Group SE, Trasys International G.E.I.E.,57
 Windward Ltd, Windward Ltd,4
 Steinbeis 2I GMBH, Steinbeis 2I GMBH,2
 in-innovative navigation GmbH, CNIM AIR SPACE SAS,6
 Bechtle Brussels NV, Bechtle Brussels NV,1
 CAE Aviation, CAE Aviation,7
 DEA Aviation, DEA Aviation,7
 Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,2
 Cambridge School of English Sp. z o.o., Cambridge School of English Sp. z o.o.,1
 DSV Air and Sea Sp.Zo.o, Pol-Mare Sp.Zo.o,3
 DSV Air and Sea Sp.Zo.o, Maxi Cargo Sp.Zo.o,3
 Pol-Mare Sp.Zo.o, Maxi Cargo Sp.Zo.o,3
 Sicurtransport, Sicurtransport,2
 Airbus DS Airborne Solutions GmbH, Elbit Systems Ltd,83
 Airbus DS Airborne Solutions GmbH, Advanced Technology Center,83
 Elbit Systems Ltd, Advanced Technology Center,83
 Air Charter Service GmbH, AS Aircontact,17
 Air Charter Service GmbH, Air Partner International GmbH,17
 Air Charter Service GmbH, Professional Aviation Solutions GmbH,17
 AS Aircontact, Air Partner International GmbH,17
 AS Aircontact, Professional Aviation Solutions GmbH,17
 Air Partner International GmbH, Professional Aviation Solutions GmbH,17
 Korporacja Wschód Sp. z o.o., Optix SA,21
 International SOS (Belgium) SPRL, International SOS (Belgium) SPRL,3
 Dat-Con d.o.o., Opticoelectron Group JSCo,14
 Opticoelectron Group JSCo, Dat-Con d.o.o.,14
 The Bridge – English Language Centre s.r.o., The Bridge – English Language Centre s.r.o.,1
 Centro Informazione e Educazione Allo Sviluppo Onlus, Centro Informazione e Educazione Allo Sviluppo Onlus,42
 EDISOFT-Empresa de Servicos e Desenvolvimento de Software, S.A.,1
 Meteomatics AG, Meteomatics AG,2
 Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici - , Biblomatica SAC,3
 Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici - , ETT S.P.A.,3
 Fondazione Centro Euro-Mediterraneo sui Cambiamenti Climatici - , Danmarks Meteorologiske Institut,3
 Biblomatica SAC, ETT S.P.A.,3
 Biblomatica SAC, Danmarks Meteorologiske Institut,3
 ETT S.P.A., Danmarks Meteorologiske Institut,3
 TUSNOVICS INSTRUMENTS Sp. z o. o., TUSNOVICS INSTRUMENTS Sp. z o. o.,1
 Glock Ges. m.b.H., Glock Ges. m.b.H.,7
 Mildat Sp. z o.o., Parasnake Arkadiusz Szewczyk,3
 SAS Institute Sp. z o.o., SAS Institute Sp. z o.o.,8
 Arlen S.A., Arlen S.A.,28
 Arlen S.A., Arlen S.A.,7
 Zintegrowane Systemy Techniczne Sp. z o.o., Zintegrowane Systemy Techniczne Sp. z o.o.,3
 DC System Sp. z o.o., DC System Sp. z o.o.,2
 ARCH s.c. Miroslawa Nowicka, Marek Nowicki,1
 ALAB laboratoria Sp. z o.o., ALAB laboratoria Sp. z o.o.,11
 Petra Medica Sp. z o.o., Petra Medica Sp. z o.o.,1
 DEA Aviation, DEA Aviation,89
 EASP Air BV, 2. Scotty Group Austria GmbH,89
 EASP Air BV, 2Excel Aviation Ltd,89
 2. Scotty Group Austria GmbH, 2Excel Aviation Ltd,89
 DEA Aviation, DEA Aviation,51
 EASP Air BV, 2. Scotty Group Austria GmbH,51
 EASP Air BV, 2Excel Aviation Ltd,51
 2. Scotty Group Austria GmbH, 2Excel Aviation Ltd,51
 ISR Support Europe BV, ISR Support Europe BV,51
 ITHACA — Information Technology for Humanitarian Assistance, Cooperation and Action,8
 ITHACA — Information Technology for Humanitarian Assistance, ITHACA S.R.L.,8
 ITHACA — Information Technology for Humanitarian Assistance, Politecnico DI Torino,8
 ITHACA — Information Technology for Humanitarian Assistance, Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt,8
 ITHACA — Information Technology for Humanitarian Assistance, Epsilon Malta Ltd,8
 ITHACA — Information Technology for Humanitarian Assistance, GEO4MAP S.R.L.,8
 ITHACA — Information Technology for Humanitarian Assistance, Karšu izdevniecība Jāņa sēta SIA,8
 Cooperation and Action, ITHACA S.R.L.,8
 Cooperation and Action, Politecnico DI Torino,8
 Cooperation and Action, Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt,8
 Cooperation and Action, Epsilon Malta Ltd,8
 Cooperation and Action, GEO4MAP S.R.L.,8
 Cooperation and Action, Karšu izdevniecība Jāņa sēta SIA,8
 ITHACA S.R.L., Politecnico DI Torino,8
 ITHACA S.R.L., Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt,8
 ITHACA S.R.L., Epsilon Malta Ltd,8
 ITHACA S.R.L., GEO4MAP S.R.L.,8
 ITHACA S.R.L., Karšu izdevniecība Jāņa sēta SIA,8
 Politecnico DI Torino, Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt,8
 Politecnico DI Torino, Epsilon Malta Ltd,8
 Politecnico DI Torino, GEO4MAP S.R.L.,8
 Politecnico DI Torino, Karšu izdevniecība Jāņa sēta SIA,8
 Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt, Epsilon Malta Ltd,8
 Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt, GEO4MAP S.R.L.,8
 Freytag – Berndt und Artaria Kommanditgesellschaft Kartographische Anstalt, Karšu izdevniecība Jāņa sēta SIA,8
 Epsilon Malta Ltd, GEO4MAP S.R.L.,8
 Epsilon Malta Ltd, Karšu izdevniecība Jāņa sēta SIA,8
 GEO4MAP S.R.L., Karšu izdevniecība Jāņa sēta SIA,8
 Sopra Steria Benelux SA/NV, Idemia Identity and Security France SAS,9
 IGEFA Handelsgesellschaft mbH & Co. KG, International SOS Europe Government Services S.R.L.,100
 IGEFA Handelsgesellschaft mbH & Co. KG, Kronosan S.R.L.,100
 IGEFA Handelsgesellschaft mbH & Co. KG, N.B.C. System S.R.L.,100
 IGEFA Handelsgesellschaft mbH & Co. KG, BLS S.R.L.,100
 International SOS Europe Government Services S.R.L., Kronosan S.R.L.,100
 International SOS Europe Government Services S.R.L., N.B.C. System S.R.L.,100
 International SOS Europe Government Services S.R.L., BLS S.R.L.,100
 Kronosan S.R.L., N.B.C. System S.R.L.,100
 Kronosan S.R.L., BLS S.R.L.,100
 N.B.C. System S.R.L., BLS S.R.L.,100
 NaviGate Sp. z o.o., Aviation Technik Sp. z o.o.,4
 PWC – Pricewaterhousecoopers EU Services EESV, ISDEFE – Ingenieria Sistemas Para la Defensa de Espana,2
– Office for Economic Policy, Regional Development,5
 PWC — Pricewaterhousecoopers EU Services EESV, PWC — Pricewaterhousecoopers EU Services EESV,3
 Jas Technologie Sp z oo, Jas Technologie Sp z oo,2
 Dom Volvo Car Sp. z o.o., Mleasing Sp. z o.o.,7
 Dom Volvo Car Sp. z o.o., Mleasing Sp. z o.o.,3
