,id,year,contracting_authority_official_name,contracting_authority_country,contracting_authority_nut,contracting_authority_main_activity,object_title,object_type,object_description,object_total_value,cpv,award_criteria,procedure_type,url,object_total_value_clean,tenders,group_economic_operator,subcontracting,contractors,contractors_countries,contractors_total_value,award_of_contracts_address,award_of_contracts_town,group_economic_operator_boolean,subcontracting_boolean,contractors_total_value_clean,contractors_clean,VIS,Eurodac,SIS I,SIS II,Entry Exit System,cpv_clean
10,070753-2021,2021,"European Union Agency for the operational management of large-scale IT systems in the area of freedom, security and justice (eu-LISA)",Estonia,EE EESTI,General public services,Provision of Office Supplies for eu-LISA,Supplies,,500 000.00 EUR,30192000 Office supplies,"Quality criterion - Name: Assortment and quality of products; ordering, delivery and transportation; customer service / Weighting: 0.6",Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:070753-2021:TEXT:EN:HTML&src=0,500000.0,2,no,NA,[' Lyreco France SAS'],[' France'],300 000.00 EUR,[' Lyreco France Rue Alphonse Terroir'],[' Marly'],1,False,300000.0, Lyreco France SAS,False,False,False,False,False,
11,729472-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE001 Põhja-Eesti,General public services,"Framework Contract for Provision of Security Welcome and Reception Services at eu-LISA premises in Strasbourg, France",Services,,3 000 000.00 EUR,79710000 Security services,Quality criterion - Name: Quality of technical offer / Weighting: 0.6,Competitive procedure with negotiation,https://ted.europa.eu/udl?uri=TED:NOTICE:729472-2022:TEXT:EN:HTML&src=0,3000000.0,2,no,NA,[' S3 Security SAS'],[' France'],3 000 000.00 EUR,[' 80 avenue du général de Gaulle'],[' Viry-Châtillon'],1,False,3000000.0, S3 Security SAS,False,False,False,False,False,Security services
12,724331-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FR France,General public services,"VIS-EES Developments, VIS Interconnection with ETIAS and IO Instruments, MWO",Services,,40 450 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: Qualitative award criteria / Weighting: 60,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:724331-2022:TEXT:EN:HTML&src=0,40450000.0,1,yes,NA,"[' Accenture NV/SA', ' ATOS Belgium NV/SA', ' Idemia Identity & Security France SAS']","[' Belgium', ' Belgium', ' France']",40 450 000.00 EUR,NA,"[' Brussels', ' Zaventem', ' Courbevoie']",3,False,40450000.0," Accenture NV/SA, ATOS Belgium NV/SA, Idemia Identity & Security France SAS",True,False,False,False,False,IT services
13,573545-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,"Integrated Communication, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: As described in the procurement documents / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:573545-2022:TEXT:EN:HTML&src=0,17900000.0,3,no,,[' Pomilio Blumm SRL'],[' Italy'],900 000.00 EUR,NA,[' Pescara'],1,False,900000.0, Pomilio Blumm SRL,False,False,False,False,False,Business services
14,573545-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,"Integrated Communication, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: As described in the procurement documents / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:573545-2022:TEXT:EN:HTML&src=0,17900000.0,6,no,The contract is likely to be subcontracted,[' Pomilio Blumm SRL'],[' Italy'],15 000 000.00 EUR,NA,[' Pescara'],1,True,15000000.0, Pomilio Blumm SRL,False,False,False,False,False,Business services
15,573545-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,"Integrated Communication, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: As described in the procurement documents / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:573545-2022:TEXT:EN:HTML&src=0,17900000.0,6,yes,The contract is likely to be subcontracted,"[' Propager', ' News (North East West South) Travel']","[' France', ' France']",15 000 000.00 EUR,NA,"[' Paris', ' Paris']",2,True,15000000.0," Propager, News (North East West South) Travel",False,False,False,False,False,Business services
16,573545-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,"Integrated Communication, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: As described in the procurement documents / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:573545-2022:TEXT:EN:HTML&src=0,17900000.0,6,yes,The contract is likely to be subcontracted,"[' IBF International Consulting SA', ' T and T Executive Company of General Tourism and Public Relations']","[' Belgium', ' Greece']",15 000 000.00 EUR,NA,"[' Brussels', ' Athens']",2,True,15000000.0," IBF International Consulting SA, T and T Executive Company of General Tourism and Public Relations",False,False,False,False,False,Business services
17,573545-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,"Integrated Communication, Event and Travel Management Services",Services,,17 900 000.00 EUR,"79000000 Business services: law, marketing, consulting, recruitment, printing and security",Quality criterion - Name: As described in the procurement documents / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:573545-2022:TEXT:EN:HTML&src=0,17900000.0,5,no,NA,[' Figame.com Travel Organisation LTD'],[' Greece'],2 000 000.00 EUR,NA,[' Athens'],1,False,2000000.0, Figame.com Travel Organisation LTD,False,False,False,False,False,Business services
18,451556-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,Provision of Legal Services,Services,,940 000.00 EUR,79100000 Legal services,Quality criterion - Name: Quality award criteria / Weighting: 0.7,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:451556-2022:TEXT:EN:HTML&src=0,940000.0,1,no,,"[' Daldewolf, SCRL']",[' Belgium'],200 000.00 EUR,[' Avenue Louise 81'],[' Brussels'],1,False,200000.0," Daldewolf, SCRL",False,False,False,False,False,
19,451556-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,Provision of Legal Services,Services,,940 000.00 EUR,79100000 Legal services,Quality criterion - Name: Quality award criteria / Weighting: 0.7,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:451556-2022:TEXT:EN:HTML&src=0,940000.0,4,no,,[' Meridian AARPI'],[' France'],444 000.00 EUR,[' 27 rue Taitbout'],[' Paris'],1,False,444000.0, Meridian AARPI,False,False,False,False,False,
20,451556-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,Provision of Legal Services,Services,,940 000.00 EUR,79100000 Legal services,Quality criterion - Name: Quality award criteria / Weighting: 0.7,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:451556-2022:TEXT:EN:HTML&src=0,940000.0,4,no,,[' Deloitte Legal-Lawyers BV/SRL'],[' Belgium'],440 000.00 EUR,"[' Gateway Building, Luchthaven Brussel Nationaal 1 J']",[' Zaventem'],1,False,440000.0, Deloitte Legal-Lawyers BV/SRL,False,False,False,False,False,
21,451556-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,Provision of Legal Services,Services,,940 000.00 EUR,79100000 Legal services,Quality criterion - Name: Quality award criteria / Weighting: 0.7,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:451556-2022:TEXT:EN:HTML&src=0,940000.0,2,no,,[' Advokaadibüroo PricewaterhouseCoopers Legal OÜ'],[' Estonia'],100 000.00 EUR,[' Parnu mnt. 15'],[' Tallinn'],1,False,100000.0, Advokaadibüroo PricewaterhouseCoopers Legal OÜ,False,False,False,False,False,
22,451556-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,Provision of Legal Services,Services,,940 000.00 EUR,79100000 Legal services,Quality criterion - Name: Quality award criteria / Weighting: 0.7,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:451556-2022:TEXT:EN:HTML&src=0,940000.0,2,no,,[' Deloitte Legal-Lawyers BV/SRL'],[' Belgium'],100 000.00 EUR,"[' Gateway Building, Luchthaven Brussel Nationaal 1 J']",[' Zaventem'],1,False,100000.0, Deloitte Legal-Lawyers BV/SRL,False,False,False,False,False,
23,451556-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,Provision of Legal Services,Services,,940 000.00 EUR,79100000 Legal services,Quality criterion - Name: Quality award criteria / Weighting: 0.7,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:451556-2022:TEXT:EN:HTML&src=0,940000.0,2,no,,[' Daldewolf SCRL'],[' Belgium'],200 000.00 EUR,[' Avenue Louise 81'],[' Brussels'],1,False,200000.0, Daldewolf SCRL,False,False,False,False,False,
24,451556-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,Provision of Legal Services,Services,,940 000.00 EUR,79100000 Legal services,Quality criterion - Name: Quality award criteria / Weighting: 0.7,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:451556-2022:TEXT:EN:HTML&src=0,940000.0,2,no,NA,"[' Deloitte Legal-Lawyers, BV/SRL']",[' Belgium'],200 000.00 EUR,"[' Gateway Building, Luchthaven Brussel Nationaal 1 J']",[' Zaventem'],1,False,200000.0," Deloitte Legal-Lawyers, BV/SRL",False,False,False,False,False,
25,448942-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,Provision of Insurance Brokerage Services for eu-LISA,Services,,2 250 000.00 EUR,66518100 Insurance brokerage services,Quality criterion - Name: Quality / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:448942-2022:TEXT:EN:HTML&src=0,2250000.0,1,yes,The contract is likely to be subcontracted,"[' IIZI Kindlustusmaakler AS', ' SIACI SAINT HONORE', ' GRECO International AG', ' Van Breda Risk & Benefits NV']","[' Estonia', ' France', ' Austria', ' Belgium']",400 000.00 EUR,NA,"[' Tallinn', ' Paris', ' Wien', ' Antwerp']",4,True,400000.0," IIZI Kindlustusmaakler AS, SIACI SAINT HONORE, GRECO International AG, Van Breda Risk & Benefits NV",False,False,False,False,False,
26,448942-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,Provision of Insurance Brokerage Services for eu-LISA,Services,,2 250 000.00 EUR,66518100 Insurance brokerage services,Quality criterion - Name: Quality / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:448942-2022:TEXT:EN:HTML&src=0,2250000.0,1,yes,The contract is likely to be subcontracted,"[' IIZI Kindlustusmaakler AS', ' SIACI SAINT HONORE', ' GRECO International AG', ' Van Breda Risk & Benefits NV']","[' Estonia', ' France', ' Austria', ' Belgium']",1 600 000.00 EUR,NA,"[' Tallinn', ' Paris', ' Wien', ' Antwerp']",4,True,1600000.0," IIZI Kindlustusmaakler AS, SIACI SAINT HONORE, GRECO International AG, Van Breda Risk & Benefits NV",False,False,False,False,False,
27,448942-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,Provision of Insurance Brokerage Services for eu-LISA,Services,,2 250 000.00 EUR,66518100 Insurance brokerage services,Quality criterion - Name: Quality / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:448942-2022:TEXT:EN:HTML&src=0,2250000.0,1,yes,The contract is likely to be subcontracted,"[' IIZI Kindlustusmaakler AS', ' SIACI SAINT HONORE', ' GRECO International AG', ' Van Breda Risk & Benefits NV']","[' Estonia', ' France', ' Austria', ' Belgium']",200 000.00 EUR,NA,"[' Tallinn', ' Paris', ' Wien', ' Antwerp']",4,True,200000.0," IIZI Kindlustusmaakler AS, SIACI SAINT HONORE, GRECO International AG, Van Breda Risk & Benefits NV",False,False,False,False,False,
28,448942-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Estonia,EE Eesti,General public services,Provision of Insurance Brokerage Services for eu-LISA,Services,,2 250 000.00 EUR,66518100 Insurance brokerage services,Quality criterion - Name: Quality / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:448942-2022:TEXT:EN:HTML&src=0,2250000.0,1,yes,The contract is likely to be subcontracted,"[' IIZI Kindlustusmaakler AS', ' SIACI SAINT HONORE', ' GRECO International AG', ' Van Breda Risk & Benefits NV']","[' Estonia', ' France', ' Austria', ' Belgium']",50 000.00 EUR,NA,"[' Tallinn', ' Paris', ' Wien', ' Antwerp']",4,True,50000.0," IIZI Kindlustusmaakler AS, SIACI SAINT HONORE, GRECO International AG, Van Breda Risk & Benefits NV",False,False,False,False,False,
29,323150-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FR France,General public services,Transversal Operations Framework (TOF),Services,,490 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: As stated in procurement documents / Weighting: 70 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:323150-2022:TEXT:EN:HTML&src=0,490000000.0,5,yes,The contract is likely to be subcontracted,"[' Accenture NV/SA', ' Atos Belgium NV/SA', ' Sopra Steria Benelux SA/NV']","[' Belgium', ' Belgium', ' Belgium']",110 000 000.00 EUR,NA,"[' Brussels', ' Zaventem', ' Brussels']",3,True,110000000.0," Accenture NV/SA, Atos Belgium NV/SA, Sopra Steria Benelux SA/NV",False,False,False,False,False,IT services
30,323150-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FR France,General public services,Transversal Operations Framework (TOF),Services,,490 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: As stated in procurement documents / Weighting: 70 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:323150-2022:TEXT:EN:HTML&src=0,490000000.0,5,no,The contract is likely to be subcontracted,[' European Dynamics Luxembourg SA'],[' Luxembourg'],110 000 000.00 EUR,NA,[' Luxembourg'],1,True,110000000.0, European Dynamics Luxembourg SA,False,False,False,False,False,IT services
31,323150-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FR France,General public services,Transversal Operations Framework (TOF),Services,,490 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: As stated in procurement documents / Weighting: 70 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:323150-2022:TEXT:EN:HTML&src=0,490000000.0,5,yes,The contract is likely to be subcontracted,"[' ARHS Developments SA', ' International Business Machines (IBM) of Belgium BV/SRL', ' Leonardo - società per azioni (S.p.A.)']","[' Luxembourg', ' Belgium', ' Italy']",110 000 000.00 EUR,NA,"[' Luxembourg', ' Brussels', ' Rome']",3,True,110000000.0," ARHS Developments SA, International Business Machines (IBM) of Belgium BV/SRL, Leonardo - società per azioni (S.p.A.)",False,False,False,False,False,IT services
32,323150-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FR France,General public services,Transversal Operations Framework (TOF),Services,,490 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: As stated in procurement documents / Weighting: 70 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:323150-2022:TEXT:EN:HTML&src=0,490000000.0,5,yes,The contract is likely to be subcontracted,"[' NTT Data Belgique SRL', ' Hellenic Telecommunications Organization SA (OTE SA - Organismos Tilepikoinonion Tis Ellados OTE AE)', ' NETCompany-Intrasoft SA']","[' Belgium', ' Greece', ' Luxembourg']",110 000 000.00 EUR,NA,"[' Brussels', ' Athens', ' Luxembourg']",3,True,110000000.0," NTT Data Belgique SRL, Hellenic Telecommunications Organization SA (OTE SA - Organismos Tilepikoinonion Tis Ellados OTE AE), NETCompany-Intrasoft SA",False,False,False,False,False,IT services
33,323150-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FR France,General public services,Transversal Operations Framework (TOF),Services,,490 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: As stated in procurement documents / Weighting: 70 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:323150-2022:TEXT:EN:HTML&src=0,490000000.0,5,yes,The contract is likely to be subcontracted,"[' Sword Services Greece SA', ' Network Research Belgium (NRB) SA', ' Cronos International SA']","[' Greece', ' Belgium', ' Luxembourg']",110 000 000.00 EUR,NA,"[' Athens', ' Herstal', ' Capellen']",3,True,110000000.0," Sword Services Greece SA, Network Research Belgium (NRB) SA, Cronos International SA",False,False,False,False,False,IT services
34,323150-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FR France,General public services,Transversal Operations Framework (TOF),Services,,490 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: As stated in procurement documents / Weighting: 70 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:323150-2022:TEXT:EN:HTML&src=0,490000000.0,3,yes,The contract is likely to be subcontracted,"[' NTT Data Belgique SRL', ' NETCompany-Intrasoft S.A.', ' Hellenic Telecommunications Organization SA (OTE SA - Organismos Tilepikoinonion Tis Ellados OTE AE)']","[' Belgium', ' Luxembourg', ' Greece']",380 000 000.00 EUR,NA,"[' Brussels', ' Luxembourg', ' Athens']",3,True,380000000.0," NTT Data Belgique SRL, NETCompany-Intrasoft S.A., Hellenic Telecommunications Organization SA (OTE SA - Organismos Tilepikoinonion Tis Ellados OTE AE)",False,False,False,False,False,IT services
35,323150-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FR France,General public services,Transversal Operations Framework (TOF),Services,,490 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: As stated in procurement documents / Weighting: 70 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:323150-2022:TEXT:EN:HTML&src=0,490000000.0,3,yes,The contract is likely to be subcontracted,"[' Atos Belgium NV/SA', ' Accenture NV/SA', ' Sopra Steria Benelux SA/NV']","[' Belgium', ' Belgium', ' Belgium']",380 000 000.00 EUR,NA,"[' Brussels', ' Zaventem', ' Brussels']",3,True,380000000.0," Atos Belgium NV/SA, Accenture NV/SA, Sopra Steria Benelux SA/NV",False,False,False,False,False,IT services
36,323150-2022,2022,"European Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",France,FR France,General public services,Transversal Operations Framework (TOF),Services,,490 000 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Quality criterion - Name: As stated in procurement documents / Weighting: 70 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:323150-2022:TEXT:EN:HTML&src=0,490000000.0,3,yes,The contract is likely to be subcontracted,"[' International Business Machines (IBM) of Belgium BV/SRL', ' ARHS Developments S.A.', ' Axianseu - Digital Solutions, SA', ' Leonardo - società per azioni (S.p.A.)']","[' Belgium', ' Luxembourg', ' Portugal', ' Italy']",380 000 000.00 EUR,NA,"[' Brussels', ' Luxembourg', ' Lisbon', ' Rome']",4,True,380000000.0," International Business Machines (IBM) of Belgium BV/SRL, ARHS Developments S.A., Axianseu - Digital Solutions, SA, Leonardo - società per azioni (S.p.A.)",False,False,False,False,False,IT services
