source,target,weight_scale
 Everis Belgique SPRL  of Ecos Consortium,Sopra Steria,100
 Everis Belgique SPRL  of Ecos Consortium, Hellenic Telecommunications Organization OTE S.A.,100
 Cancom On Line BV,Sopra Steria,100
 Cancom On Line BV, Hellenic Telecommunications Organization OTE S.A.,100
Sopra Steria, Hellenic Telecommunications Organization OTE S.A.,100
ANTTIS,3M Belgium BVBA,100
 Intrasoft International SA, Intrasoft International SA,43
Atos,Atos,43
European Dynamics,European Dynamics,43
Sopra Steria, Everis Belgique SPRL,43
 ARHS Developments SA , Sword Technologies SA,43
 365JP OÜ, 365JP OÜ,1
Idemia,Sopra Steria,69
 Unisys Belgium SA, PwC EU Services EESV,4
 Unisys Belgium SA, UniSystems Information Technology Systems Commercial SMSA,4
 PwC EU Services EESV, UniSystems Information Technology Systems Commercial SMSA,4
Infeurope SA,Infeurope SA,2
 Civitta Eesti AS, Advokaadiburoo Sorainen AS,2
 Vector Synergy Spolka z Ograniczona Odpowiedzianoscia, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,2
 Unisys Belgium SA, PwC EU Services EESV,11
 Unisys Belgium SA, UniSystems Information Technology Systems Commercial SMSA,11
 PwC EU Services EESV, UniSystems Information Technology Systems Commercial SMSA,11
 CGITI Portugal SA, CGITI Portugal SA,11
 Engineering Ingegneria Informatica S.p.A., Engineering Ingegneria Informatica S.p.A.,11
Infeurope SA,Infeurope SA,4
 Civitta Eesti AS, Advokaadiburoo Sorainen AS,4
 Vector Synergy Spolka z Ograniczona Odpowiedzianoscia, Vector Synergy Spolka z Ograniczona Odpowiedzianoscia,4
Infeurope SA,Infeurope SA,2
ELIN GmbH,ELIN GmbH,2
