id_contract,source,target,weight,weight_scale
373923-2019,AS G4S Eesti,AS G4S Eesti,2000000.0,2
297628-2019,Axima Concept SA,Axima Concept SA,500000.0,1
243528-2019,3M Belgium BVBA, Atos,142051690.0,47
243528-2019,3M Belgium BVBA,Leonardo,142051690.0,47
243528-2019, Atos,Leonardo,142051690.0,47
538648-2018, Majencia S.A., Majencia S.A.,2500000.0,2
463855-2018,AS G4S Eesti,AS G4S Eesti,1500000.0,1
371708-2018, Pomilio Blumm Srl, Pomilio Blumm Srl,900000.0,1
371708-2018, Adria Congrex Srl, Baltic Tours Ltd,14500000.0,6
371708-2018, ProPager SARL , North East West South NEWS Travel SA,14500000.0,6
371708-2018, Pomilio Blumm Srl, Pomilio Blumm Srl,14500000.0,6
371708-2018, T and T Executive SA, Company for trade and services Congress Service Center Vesna and dr. Ltd Skopje Congress Service Center,2500000.0,2
371708-2018, T and T Executive SA, Business trade and services company Congress Travel Service DOO Skopje Congress Travel Service DOO Skopje,2500000.0,2
371708-2018, Company for trade and services Congress Service Center Vesna and dr. Ltd Skopje Congress Service Center, Business trade and services company Congress Travel Service DOO Skopje Congress Travel Service DOO Skopje,2500000.0,2
252094-2018,Sopra Steria,Sopra Steria,80000000.0,27
185937-2018, Standard AS, Standard AS,1000000.0,1
467586-2017,Sopra Steria,Bull,22690000.0,8
467586-2017,Sopra Steria,3M Belgium BVBA,22690000.0,8
467586-2017,Sopra Steria,Sopra Steria,22690000.0,8
467586-2017,Sopra Steria,Bull,22690000.0,8
467586-2017,Sopra Steria,3M Belgium BVBA,22690000.0,8
467586-2017,Bull,3M Belgium BVBA,22690000.0,8
467586-2017,Bull,Sopra Steria,22690000.0,8
467586-2017,Bull,Bull,22690000.0,8
467586-2017,Bull,3M Belgium BVBA,22690000.0,8
467586-2017,3M Belgium BVBA,Sopra Steria,22690000.0,8
467586-2017,3M Belgium BVBA,Bull,22690000.0,8
467586-2017,3M Belgium BVBA,3M Belgium BVBA,22690000.0,8
467586-2017,Sopra Steria,Bull,22690000.0,8
467586-2017,Sopra Steria,3M Belgium BVBA,22690000.0,8
467586-2017,Bull,3M Belgium BVBA,22690000.0,8
381971-2017,Propager SARL, North East West South NEWS Travel SA,4700000.0,2
057156-2017, Everis Spain SLU succursale en Belgique, Everis Spain SLU succursale en Belgique,40000000.0,14
205449-2016,Accenture,3M Belgium BVBA,194450000.0,65
205449-2016,Accenture, Morpho,194450000.0,65
205449-2016,3M Belgium BVBA, Morpho,194450000.0,65
146593-2016,Sopra Steria,Bull,5226145.5,3
146593-2016,Sopra Steria, Gemalto Cogent,5226145.5,3
146593-2016,Bull, Gemalto Cogent,5226145.5,3
438492-2015,Accenture,3M Belgium BVBA,245009.0,1
438492-2015,Accenture, Morpho,245009.0,1
438492-2015,3M Belgium BVBA, Morpho,245009.0,1
422703-2015, Everesta Sro, Everesta Sro,2000000.0,2
422702-2015,Accenture,3M Belgium BVBA,2847242.02,2
422702-2015,Accenture, Morpho,2847242.02,2
422702-2015,3M Belgium BVBA, Morpho,2847242.02,2
322636-2015,Accenture,3M Belgium BVBA,584500.0,1
322636-2015,Accenture, Morpho,584500.0,1
322636-2015,3M Belgium BVBA, Morpho,584500.0,1
221695-2015,U2 Consortium Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,U2 Consortium Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,25663093.35,9
221695-2015,Accenture, Altran Technologies SA,25663093.35,9
221695-2015,Bull,Atos,25663093.35,9
221695-2015,Bull, Ernst & Young et Associés,25663093.35,9
221695-2015,Atos, Ernst & Young et Associés,25663093.35,9
221695-2015,Accenture, Tieto Estonia AS,21451501.78,8
221695-2015,U2 Consortium Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,U2 Consortium Unisys SA (group leader) and UniSystems Information Technology Systems Commercial SA,21451501.78,8
221695-2015, Everis Spain SLU succursale en Belgique , Deloitte Consulting CVBA,21451501.78,8
221695-2015, Everis Spain SLU succursale en Belgique , AS CGI Eesti,21451501.78,8
221695-2015, Deloitte Consulting CVBA, AS CGI Eesti,21451501.78,8
221695-2015, infeurope SA, infeurope SA,3572116.0,2
221695-2015, ManpowerGroup Solutions Belgium SA, ManpowerGroup Solutions Belgium SA,3572116.0,2
221695-2015, ManpowerGroup Solutions Belgium SA, ManpowerGroup Solutions Belgium SA,5915000.0,3
221695-2015, Civitta Eesti AS , Innopolis Insenerid OÜ,5915000.0,3
221695-2015, Civitta Eesti AS , Civitta UAB,5915000.0,3
221695-2015, Innopolis Insenerid OÜ, Civitta UAB,5915000.0,3
369424-2014,ELIN GmbH,ELIN GmbH,500000.0,1
332868-2014,Propager SARL, North East West South NEWS Travel SA,1500000.0,1
261497-2014,Accenture,3M Belgium BVBA,23697450.85,9
261497-2014,Accenture, Morpho,23697450.85,9
261497-2014,3M Belgium BVBA, Morpho,23697450.85,9
253801-2014,Sopra Steria,Bull,7487861.65,3
253801-2014,Sopra Steria, Gemalto Cogent,7487861.65,3
253801-2014,Bull, Gemalto Cogent,7487861.65,3
246770-2014,Axima Concept SA,Axima Concept SA,1100000.0,1
123203-2014,3M Belgium BVBA,Accenture,50000000.0,17
123203-2014,3M Belgium BVBA,Hewlett Packard Belgium BVBA/SPRL ,50000000.0,17
123203-2014,Accenture,Hewlett Packard Belgium BVBA/SPRL ,50000000.0,17
026876-2014, Securitas France SARL, AS G4S Eesti,2898268.0,2
