,id,year,contracting_authority_official_name,contracting_authority_country,contracting_authority_nut,contracting_authority_main_activity,object_title,object_type,object_description,object_total_value,cpv,award_criteria,procedure_type,url,object_total_value_clean,tenders,group_economic_operator,subcontracting,contractors,contractors_countries,contractors_total_value,award_of_contracts_address,award_of_contracts_town,subcontracting_boolean,contractors_total_value_clean,contractors_clean,cpv_clean
92,442054-2019,2019,European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,Defence,Framework Contract for Provision of Interpretation Services,Services,,700 000.00 EUR,79540000 Interpretation services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:442054-2019:TEXT:EN:HTML&src=0,700000.0,3,no,NA,[' GTC AMG sp. z o.o.'],[' Poland'],700 000.00 EUR,[' Rolna 155A'],[' Warsaw'],False,700000.0, GTC AMG sp. z o.o.,Interpretation services
93,414489-2019,2019,European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,Defence,Framework Contract for the Provision of Professional Insurance Brokerage Services,Services,,200 000.00 EUR,66510000 Insurance services - SB01,Quality criterion - Name: Criterion 1: administration of the contract; Criterion 2: service delivery / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:414489-2019:TEXT:EN:HTML&src=0,200000.0,2,no,NA,[' Nord Partner sp. z o.o.'],[' Poland'],200 000.00 EUR,[' Lubicka 16'],[' Torun'],False,200000.0, Nord Partner sp. z o.o.,Miscellaneous
94,350772-2019,2019,Frontex,Poland,PL911 Miasto Warszawa,General public services,Purchase of the Transportation Network Spatial Vector Data along the EU External Borders,Services,,300 000.00 EUR,72300000 Data services,Quality criterion - Name: Quality and completeness of the vector data / Weighting: 45,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:350772-2019:TEXT:EN:HTML&src=0,300000.0,2,no,NA,[' ESRI Polska'],[' Poland'],229 719.63 EUR,[' Bonifraterska 17'],[' Warsaw'],False,229719.63, ESRI Polska,Data services
95,338734-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,9 000 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:338734-2019:TEXT:EN:HTML&src=0,9000000.0,4,yes,,"[' CAE Aviation', ' DEA Aviation Ltd', ' Airborne Technologies GmbH', ' Fly4Less Kft']","[' Luxembourg', ' United Kingdom', ' Austria', ' Hungary']",2 250 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Viktor Lang Strasse 8', ' Lechner Odon fasor 3']","[' Luxembourg', ' Retford', ' Wiener Neustadt', ' Budapest']",False,2250000.0," CAE Aviation, DEA Aviation Ltd, Airborne Technologies GmbH, Fly4Less Kft",Transport services
96,338734-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,9 000 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:338734-2019:TEXT:EN:HTML&src=0,9000000.0,3,yes,,"[' CAE Aviation', ' DEA Aviation Ltd', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",6 050 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False,6050000.0," CAE Aviation, DEA Aviation, EASP Air BV",Transport services
97,338734-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,9 000 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:338734-2019:TEXT:EN:HTML&src=0,9000000.0,3,yes,,"[' CAE Aviation', ' DEA Aviation Ltd', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",7 200 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False,7200000.0," CAE Aviation, DEA Aviation, EASP Air BV",Transport services
98,338734-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,9 000 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:338734-2019:TEXT:EN:HTML&src=0,9000000.0,3,yes,NA,"[' CAE Aviation', ' DEA Aviation Ltd', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",13 500 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False,13500000.0," CAE Aviation, DEA Aviation, EASP Air BV",Transport services
99,304351-2019,2019,Frontex,Poland,PL POLSKA,General public services,Provision of Travel Desk Services for Frontex,Services,,20 000 000.00 EUR,"63500000 Travel agency, tour operator and tourist assistance services",Quality criterion - Name: Technical award criteria indicated in tender specifications / Weighting: 0.6,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:304351-2019:TEXT:EN:HTML&src=0,20000000.0,6,no,NA,[' eTravel SA'],[' Poland'],20 000 000.00 EUR,[' Al. Jerozolimskie 142B'],[' Warsaw'],False,20000000.0, eTravel SA,Travel agency
100,176811-2019,2019,FRONTEX,Poland,PL POLSKA,General public services,Framework Contract for Organisation of Events in Poland,Services,,6 000 000.00 EUR,"55000000 Hotel, restaurant and retail trade services",Quality criterion - Name: technical award criteria indicated in tender specifications / Weighting: 0.7,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:176811-2019:TEXT:EN:HTML&src=0,6000000.0,13,no,NA,[' Defacto Sp z oo'],[' Poland'],6 000 000.00 EUR,[' ul. Królowej Marysieńki 46'],[' Warsaw'],False,6000000.0, Defacto Sp z oo,Hotel and restaurant services
101,132816-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,27 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:132816-2019:TEXT:EN:HTML&src=0,27000000.0,5,yes,,"[' CAE Aviation', ' DEA Aviation Ltd', ' Airborne Technologies GmbH', ' Fly4Less Kft']","[' Luxembourg', ' United Kingdom', ' Austria', ' Hungary']",1 500 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Viktor Lang Strasse 8', ' Lechner Odon fasor 3']","[' Luxembourg', ' Retford', ' Wiener Neustadt', ' Budapest']",False,1500000.0," CAE Aviation, DEA Aviation Ltd, Airborne Technologies GmbH, Fly4Less Kft",Transport services
102,132816-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,27 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:132816-2019:TEXT:EN:HTML&src=0,27000000.0,2,yes,,"[' CAE Aviation', ' DEA Aviation Ltd']","[' Luxembourg', ' United Kingdom']",2 500 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport']","[' Luxembourg', ' Retford']",False,2500000.0," CAE Aviation, DEA Aviation Ltd",Transport services
103,132816-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,27 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:132816-2019:TEXT:EN:HTML&src=0,27000000.0,3,yes,,"[' CAE Aviation', ' DEA Aviation Ltd', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",4 300 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False,4300000.0," CAE Aviation, DEA Aviation, EASP Air BV",Transport services
104,132816-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,27 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:132816-2019:TEXT:EN:HTML&src=0,27000000.0,3,yes,,"[' CAE Aviation', ' DEA Aviation Ltd', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",5 200 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False,5200000.0," CAE Aviation, DEA Aviation, EASP Air BV",Transport services
105,132816-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,27 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:132816-2019:TEXT:EN:HTML&src=0,27000000.0,3,yes,,"[' CAE Aviation', ' DEA Aviation', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",9 000 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False,9000000.0," CAE Aviation, DEA Aviation, EASP Air BV",Transport services
106,132816-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions,Services,,27 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:132816-2019:TEXT:EN:HTML&src=0,27000000.0,3,yes,NA,"[' CAE Aviation', ' DEA Aviation', ' EASP Air BV']","[' Luxembourg', ' United Kingdom', ' Netherlands']",4 500 000.00 EUR,"[' Luxembourg International Airport', ' Retford Gamston Airport', ' Thermiekstraat 52']","[' Luxembourg', ' Retford', ' Schiphol']",False,4500000.0," CAE Aviation, DEA Aviation, EASP Air BV",Transport services
107,125845-2019,2019,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,Defence,Chartering Aircraft and Related Services for Return Operations,Services,,21 000 000.00 EUR,60420000 Non-scheduled air transport services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:125845-2019:TEXT:EN:HTML&src=0,21000000.0,2,yes,,"[' Air Charter Service Ltd', ' AS Aircontact']","[' United Kingdom', ' Norway']",3 000 000.00 EUR,"[' 171-185 Ewell Road', ' Karenslyst Alle 49']","[' Surbiton', ' Oslo']",False,3000000.0," Air Charter Service Ltd, AS Aircontact",Travel agency
108,120796-2019,2019,Frontex,Poland,PL POLSKA,General public services,Returns by Scheduled Flights supported by Frontex,Services,,30 000 000.00 EUR,"63500000 Travel agency, tour operator and tourist assistance services",Quality criterion - Name: Technical award criteria indicated in the tender specifications / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:120796-2019:TEXT:EN:HTML&src=0,30000000.0,1,no,NA,[' eTravel SA'],[' Poland'],30 000 000.00 EUR,[' Al. Jerozolimskie 142B'],[' Warsaw'],False,30000000.0, eTravel SA,Travel agency
109,075773-2019,2019,Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Vehicles for Migration Management support,Supplies,,2 000 000.00 EUR,34114000 Specialist vehicles,Quality criterion - Name: Technical paramenters of cars / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:075773-2019:TEXT:EN:HTML&src=0,2000000.0,1,no,NA,[' Car Master 2 Sp. z o.o. Sp.k'],[' Poland'],1 000 000.00 EUR,[' Jasnogórska 97'],[' Kraków'],False,1000000.0, Car Master 2 Sp. z o.o. Sp.k,Transport services
110,054218-2019,2019,Frontex,Poland,PL911 Miasto Warszawa,General public services,"Provision of Nautical Charts Web Map Service Design, Transition and Operation",Services,,150 000.00 EUR,48320000 Drawing and imaging software package,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:054218-2019:TEXT:EN:HTML&src=0,150000.0,3,no,NA,[' Carmenta AB'],[' Sweden'],109 490.00 EUR,[' Sankt Eriksgatan 5'],[' Gotenborg'],False,109490.0, Carmenta AB,Software
111,135084-2021,2021,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Entry Exit System Land Border Pilot,Services,,1 500 000.00 EUR,73000000 Research and development services and related consultancy services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:135084-2021:TEXT:EN:HTML&src=0,1500000.0,11,no,The contract is likely to be subcontracted,[' VISION BOX -SOLUCOES DE VISAO PORCOMPUTADOR SA'],[' Portugal'],464 587.12 EUR,NA,[' Carnaxide'],True,464587.12, VISION BOX -SOLUCOES DE VISAO PORCOMPUTADOR SA,Research and development services and related consultancy services
112,135084-2021,2021,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Entry Exit System Land Border Pilot,Services,,1 500 000.00 EUR,73000000 Research and development services and related consultancy services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:135084-2021:TEXT:EN:HTML&src=0,1500000.0,9,no,NA,[' EVERIS AEROESPACIAL Y DEFENSA SL'],[' Spain'],693 000.00 EUR,NA,[' Madrid'],False,693000.0, EVERIS AEROESPACIAL Y DEFENSA SL,Research and development services and related consultancy services
113,101568-2021,2021,FRONTEX,Poland,PL911 Miasto Warszawa,General public services,Single Framework Contract for Satellite Imagery Provisioning,Services,,4 000 000.00 EUR,79714000 Surveillance services,Quality criterion - Name: As listed in Tender Specifications / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:101568-2021:TEXT:EN:HTML&src=0,4000000.0,3,no,NA,[' GAF AG'],[' Germany'],4 000 000.00 EUR,[' Arnulfstrasse 199'],[' Munich'],False,4000000.0, GAF AG,Surveillance services
114,057192-2021,2021,Frontex,Poland,PL POLSKA,Public order and safety,Cisco Advanced Services,Services,,300 000.00 EUR,"72000000 IT services: consulting, software development, Internet and support",Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:057192-2021:TEXT:EN:HTML&src=0,300000.0,1,no,NA,[' Atende SA'],[' Poland'],300 000.00 EUR,[' Pl Konesera 10A'],[' Warsaw'],False,300000.0, Atende SA,Software
115,048750-2021,2021,Frontex - European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,"Multiple Framework Contract with Reopening of Competition for the Provision Services for Development, Consultancy and Support of Information Systems under Time and Means Conditions",Services,,34 000 000.00 EUR,79600000 Recruitment services,Quality criterion - Name: Quality / Weighting: 50,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:048750-2021:TEXT:EN:HTML&src=0,34000000.0,22,no,,"[' ARHS Developments S.A.', ' Consortium ATOS POLSKA S.A. (leader)', ' UNI Systems Information Technology Systems Commercial S.M.S.A. (Partner)', ' UNI Systems Luxembourg S.a.r.l. (Partner)', ' Computer Resources International S.A. (Partner)', ' Avalon Tecnologías de la Información S.L.', ' Engineering Ingegneria Informatica S.P.A.', ' Fabrity SP. Z O.O.', ' JIT Team SP. Z O.O.', ' Hellenic Telecommunications Organization S.A. – OTE S.A. (Leader)', ' FINCONS S.P.A. (Partner)', ' PWC EU Services EESV (Leader)', ' PWC IT Services SP. Z O.O. (Partner)', ' Soitron Group SE', ' Trasys International G.E.I.E.']","[' Luxembourg', ' Poland', ' Greece', ' Luxembourg', ' Luxembourg', ' Spain', ' Italy', ' Poland', ' Poland', ' Greece', ' Italy', ' Belgium', ' Poland', ' Slovakia', ' Belgium']",34 000 000.00 EUR,"[' Boulevard du Jazz 13', ' Ul. Krolewska 16', ' Alexandrou Pantou 19-23, Athens', ' rue Edward Steichen 26', ' Rue de l’Industrie 11', ' Calle de Alcalá, 63, 3ª Planta', ' Piazzale dell’Agricoltura 24', ' Ul. Domaniewska 44A', ' Al. Zwyciestwa 96/98', ' 99 Kifissias Av., Maroussi', ' Corso Magenta 56', ' Woluwedal 18', ' Ul. Polna 11', ' Plynarenska 5', ' Rue d’Arlon 53-7']","[' Belvaux', ' Warsaw', ' Kallithea', ' Luxembourg', ' Windhof', ' Madrid', ' Rome', ' Warsaw', ' Gdynia', ' Athens', ' Milan', ' Sint-Stevens-Woluwe', ' Warsaw', ' Bratislava', ' Brussels']",False,34000000.0," ARHS Developments S.A., Consortium ATOS POLSKA S.A. (leader), UNI Systems Information Technology Systems Commercial S.M.S.A. (Partner), UNI Systems Luxembourg S.a.r.l. (Partner), Computer Resources International S.A. (Partner), Avalon Tecnologías de la Información S.L., Engineering Ingegneria Informatica S.P.A., Fabrity SP. Z O.O., JIT Team SP. Z O.O., Hellenic Telecommunications Organization S.A. – OTE S.A. (Leader), FINCONS S.P.A. (Partner), PWC EU Services EESV (Leader), PWC IT Services SP. Z O.O. (Partner), Soitron Group SE, Trasys International G.E.I.E.",Miscellaneous
116,010370-2021,2021,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Maritime Analysis Tools,Services,,2 600 000.00 EUR,72316000 Data analysis services,Quality criterion - Name: Technical merit / Weighting: 70,Restricted procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:010370-2021:TEXT:EN:HTML&src=0,2600000.0,2,no,NA,[' Windward Ltd'],[' Israel'],1 807 200.00 EUR,NA,[' Tel Aviv'],False,1807200.0, Windward Ltd,Data services
117,010369-2021,2021,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Research Study on Technology Foresight on Biometrics for the Future of Travel,Services,,500 000.00 EUR,73000000 Research and development services and related consultancy services,Quality criterion - Name: Technical merit / Weighting: 60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:010369-2021:TEXT:EN:HTML&src=0,500000.0,3,no,The contract is likely to be subcontracted,[' Steinbeis 2I GMBH'],[' Germany'],491 500.00 EUR,NA,[' Stuttgart'],True,491500.0, Steinbeis 2I GMBH,Research and development services and related consultancy services
118,008683-2021,2021,Frontex - European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Maritime Surveillance Aerostat 2 Technology Pilot,Services,,3 009 000.00 EUR,79714000 Surveillance services,Quality criterion - Name: Technical score / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:008683-2021:TEXT:EN:HTML&src=0,3009000.0,3,yes,The contract is likely to be subcontracted,"[' in-innovative navigation GmbH', ' CNIM AIR SPACE SAS']","[' Germany', ' France']",3 009 000.00 EUR,"[' Leibnizstraße 11', ' 2 Chemin de la Val Priout, ZA Labal Prioul']","[' Kornwestheim', ' Ayguesvives']",True,3009000.0," in-innovative navigation GmbH, CNIM AIR SPACE SAS",Surveillance services
119,563114-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Purchase of Training and Environmental Data Update for SARMAP Software,Services,,69 564.00 EUR,72253200 Systems support services,Price,Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:563114-2020:TEXT:EN:HTML&src=0,69564.0,1,no,NA,[' Bechtle Brussels NV'],[' Belgium'],69 564.00 EUR,[' Peerderbaan 207'],[' Pelt'],False,69564.0, Bechtle Brussels NV,Software
120,542061-2020,2020,Frontex - European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions — Lot 2,Services,,2 500 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:542061-2020:TEXT:EN:HTML&src=0,2500000.0,2,no,,[' CAE Aviation'],[' Luxembourg'],3 750 000.00 EUR,[' Luxembourg International Airport'],[' Luxembourg'],False,3750000.0, CAE Aviation,Transport services
121,542061-2020,2020,Frontex - European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Aerial Surveillance Services for Border and Coast Guard Functions — Lot 2,Services,,2 500 000.00 EUR,60440000 Aerial and related services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:542061-2020:TEXT:EN:HTML&src=0,2500000.0,2,no,NA,[' DEA Aviation'],[' United Kingdom'],3 750 000.00 EUR,[' Retford Gamston Airport'],[' Retford'],False,3750000.0, DEA Aviation,Transport services
122,520760-2020,2020,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Language Courses for Frontex Staff,Services,,500 000.00 EUR,80000000 Education and training services,Quality criterion - Name: Technical merit / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:520760-2020:TEXT:EN:HTML&src=0,500000.0,10,no,,[' Cambridge School of English Sp. z o.o.'],[' Poland'],424 000.00 EUR,NA,[' Warsaw'],False,424000.0, Cambridge School of English Sp. z o.o.,Miscellaneous
123,520760-2020,2020,European Border and Coast Guard Agency — Frontex,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for the Provision of Language Courses for Frontex Staff,Services,,500 000.00 EUR,80000000 Education and training services,Quality criterion - Name: Technical merit / Weighting: 60 %,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:520760-2020:TEXT:EN:HTML&src=0,500000.0,10,no,NA,[' Cambridge School of English Sp. z o.o.'],[' Poland'],76 000.00 EUR,NA,[' Warsaw'],False,76000.0, Cambridge School of English Sp. z o.o.,Miscellaneous
124,492276-2020,2020,Frontex,Poland,PL911 Miasto Warszawa,General public services,Provision of Door-to-door Transportation Services for Frontex Vehicles,Services,,1 000 000.00 EUR,60000000 Transport services (excl. Waste transport),Quality criterion - Name: Methodology and risk management / Weighting: 30,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:492276-2020:TEXT:EN:HTML&src=0,1000000.0,4,no,,"[' DSV Air and Sea Sp.Zo.o', ' Pol-Mare Sp.Zo.o', ' Maxi Cargo Sp.Zo.o']","[' Poland', ' Poland', ' Poland']",1 000 000.00 EUR,"[' Ozarowska 40/42', ' Czechoslowacka 3', ' Nowowiejska 28']","[' Ożarów Mazowiecki', ' Gdynia', ' Swarzedz']",False,1000000.0," DSV Air and Sea Sp.Zo.o, Pol-Mare Sp.Zo.o, Maxi Cargo Sp.Zo.o",Transport services
125,473318-2020,2020,Frontex,Poland,PL911 Miasto Warszawa,Public order and safety,Swecurity Services in EURTF Catania,Services,,672 067.20 EUR,79710000 Security services,"Quality criterion - Name: Adequacy and quality of the proposed team on the basis of the professional experience and training courses foreseen by applicable legislation, as well as any additional training relevant to the execution of guarding services / Weighting: 30/100",Award of a contract without prior publication of a call for competition in the Official Journal of the European Union in the cases listed below,https://ted.europa.eu/udl?uri=TED:NOTICE:473318-2020:TEXT:EN:HTML&src=0,672067.2,2,no,NA,[' Sicurtransport'],[' Italy'],672 067.20 EUR,[' via Papa Segio 4.48'],[' Palermo'],False,672067.2, Sicurtransport,Security services
126,473315-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Remotely Piloted Aircraft Systems (RPAS) for Medium Altitude Long Endurance Maritime Aerial Surveillance,Services,,50 000 000.00 EUR,60440000 Aerial and related services,Quality criterion - Name: technical offer / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:473315-2020:TEXT:EN:HTML&src=0,50000000.0,3,no,The contract is likely to be subcontracted,"[' Airbus DS Airborne Solutions GmbH', ' Elbit Systems Ltd, Advanced Technology Center']","[' Germany', ' Israel']",50 000 000.00 EUR,"[' Richard-Dunkel-Strasse 121', ' P.O. Box 539']","[' Bremen', ' Haifa']",True,50000000.0," Airbus DS Airborne Solutions GmbH, Elbit Systems Ltd, Advanced Technology Center",Transport services
127,200085-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Short Notice Chartering of Aircraft for Frontex Operational Activities,Services,,10 000 000.00 EUR,60420000 Non-scheduled air transport services,Price,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:200085-2020:TEXT:EN:HTML&src=0,10000000.0,5,no,,"[' Air Charter Service GmbH', ' AS Aircontact', ' Air Partner International GmbH', ' Professional Aviation Solutions GmbH']","[' Germany', ' Norway', ' Austria', ' Germany']",10 000 000.00 EUR,"[' An der Welle 5', ' Karenslyst Alle 49', ' Rasumofskygasse 4/16', ' Lustheide 85']","[' Frankfurt', ' Oslo', ' Vienna', ' Bergisch Gladbach']",False,10000000.0," Air Charter Service GmbH, AS Aircontact, Air Partner International GmbH, Professional Aviation Solutions GmbH",Travel agency
128,175550-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Mobile Surveillance Systems for Frontex Operational Activities — Lot 2,Supplies,,12 000 000.00 EUR,35120000 Surveillance and security systems and devices,Quality criterion - Name: Technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:175550-2020:TEXT:EN:HTML&src=0,12000000.0,17,yes,The contract is likely to be subcontracted,"[' Korporacja Wschód Sp. z o.o.', ' Optix SA']","[' Poland', ' Bulgaria']",12 000 000.00 EUR,"[' Pozaryskiego 28', ' Kliment Ohridski Bled blok 19']","[' Warsaw', ' Sofia']",True,12000000.0," Korporacja Wschód Sp. z o.o., Optix SA",Surveillance services
129,162977-2020,2020,Frontex,Poland,PL POLSKA,General public services,Provision of Medical Services – Pre-recruitment Examination,Services,,1 350 000.00 EUR,85100000 Health services,Quality criterion - Name: Technical award criteria indicated in the tender specifications / Weighting: 0.6,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:162977-2020:TEXT:EN:HTML&src=0,1350000.0,1,no,The contract is likely to be subcontracted,[' International SOS (Belgium) SPRL'],[' Belgium'],1 350 000.00 EUR,"[' Heyzel Esplanade 1, B007']",[' Brussels'],True,1350000.0, International SOS (Belgium) SPRL,Miscellaneous
130,127371-2020,2020,Frontex — European Border and Coast Guard Agency,Poland,PL911 Miasto Warszawa,General public services,Framework Contract for Provision of Mobile Surveillance Systems for Frontex Operational Activities,Supplies,,8 000 000.00 EUR,35120000 Surveillance and security systems and devices,Quality criterion - Name: Technical value / Weighting: 0.60,Open procedure,https://ted.europa.eu/udl?uri=TED:NOTICE:127371-2020:TEXT:EN:HTML&src=0,8000000.0,12,yes,NA,"[' Dat-Con d.o.o.', ' Opticoelectron Group JSCo']","[' Slovenia', ' Bulgaria']",8 000 000.00 EUR,"[' Cvetlicna ulica 52', ' Industrial Park ‘Opticoelectron’']","[' Polzela', ' Panagyurishte']",False,8000000.0," Dat-Con d.o.o., Opticoelectron Group JSCo",Surveillance services
